Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,6.550500e-04,5.399247e-14,1.634665e-13
RB SOR 3D,31,150,1.139110e-02,2.865629e-14,8.481237e-14
RB SOR 3D,47,228,8.323578e-02,2.007296e-14,5.855212e-14
RB SOR 3D,63,307,2.026534e-01,1.521997e-14,4.399085e-14
RB SOR 3D,79,386,4.606364e-01,1.287458e-14,3.701206e-14
RB SOR 3D,95,467,9.974340e-01,1.014213e-14,2.906182e-14
RB SOR 3D,111,547,1.993113e+00,9.028830e-15,2.578320e-14
RB SOR 3D,127,628,3.618872e+00,7.890664e-15,2.251151e-14
RB SOR 3D,143,709,5.832341e+00,7.107670e-15,2.025637e-14
RB SOR 3D,159,791,9.167755e+00,6.290286e-15,1.791102e-14
"MG 3D(v, nu=3, w=1.25)",15,7,7.131700e-04,1.004736e-14,2.809211e-14
"MG 3D(v, nu=3, w=1.25)",31,7,6.828387e-03,2.745885e-14,7.745887e-14
"MG 3D(v, nu=3, w=1.25)",47,7,1.726691e-02,2.411376e-14,6.816422e-14
"MG 3D(v, nu=3, w=1.25)",63,7,4.430643e-02,3.483255e-14,9.846984e-14
"MG 3D(v, nu=3, w=1.25)",95,7,1.030540e-01,2.696751e-14,7.635038e-14
"MG 3D(v, nu=3, w=1.25)",127,7,2.525871e-01,3.693974e-14,1.044668e-13
"MG 3D(v, nu=3, w=1.25)",191,7,9.819255e-01,2.773043e-14,7.850838e-14
"MG 3D(v, nu=3, w=1.25)",255,7,2.375900e+00,3.748014e-14,1.060471e-13
"MG 3D(v, nu=3, w=auto)",15,13,1.167327e-03,1.003009e-13,2.927311e-13
"MG 3D(v, nu=3, w=auto)",31,20,9.392927e-03,7.210937e-12,1.899817e-11
"MG 3D(v, nu=3, w=auto)",47,20,5.709577e-02,8.769015e-09,2.284939e-08
"MG 3D(v, nu=3, w=auto)",63,20,9.820322e-02,6.657837e-08,1.652201e-07
"MG 3D(v, nu=3, w=auto)",95,20,2.871557e-01,4.995515e-06,1.291801e-05
"MG 3D(v, nu=3, w=auto)",127,20,7.235218e-01,8.103635e-06,1.931152e-05
"MG 3D(v, nu=3, w=auto)",191,20,2.783749e+00,1.271912e-04,3.249004e-04
"MG 3D(v, nu=3, w=auto)",255,20,6.827534e+00,9.482238e-05,2.187321e-04
"MG 3D(w, nu=3, w=1.25)",15,6,1.337181e-03,3.746673e-14,1.064756e-13
"MG 3D(w, nu=3, w=1.25)",31,5,4.333134e-03,2.153664e-14,5.367928e-14
"MG 3D(w, nu=3, w=1.25)",47,5,1.454749e-02,1.368124e-15,5.156249e-15
"MG 3D(w, nu=3, w=1.25)",63,5,3.554041e-02,2.422862e-16,1.113476e-15
"MG 3D(w, nu=3, w=1.25)",95,4,6.325953e-02,4.559291e-15,1.886208e-14
"MG 3D(w, nu=3, w=1.25)",127,4,1.604897e-01,1.138831e-15,5.672979e-15
"MG 3D(w, nu=3, w=1.25)",191,4,6.251259e-01,2.560114e-16,1.289875e-15
"MG 3D(w, nu=3, w=1.25)",255,4,1.529526e+00,1.162769e-16,7.067914e-16
"MG 3D(w, nu=3, w=auto)",15,11,1.984681e-03,2.101741e-13,6.238413e-13
"MG 3D(w, nu=3, w=auto)",31,20,1.512470e-02,5.159444e-15,1.759877e-14
"MG 3D(w, nu=3, w=auto)",47,20,6.601383e-02,6.248924e-12,3.302453e-11
"MG 3D(w, nu=3, w=auto)",63,20,1.105120e-01,1.817772e-10,7.850747e-10
"MG 3D(w, nu=3, w=auto)",95,20,3.494684e-01,2.832415e-09,1.052374e-08
"MG 3D(w, nu=3, w=auto)",127,20,8.428733e-01,9.931990e-09,5.137311e-08
"MG 3D(w, nu=3, w=auto)",191,20,3.161402e+00,5.816085e-08,4.448054e-07
"MG 3D(w, nu=3, w=auto)",255,20,7.609336e+00,8.577793e-08,4.991298e-07
