Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,60,5.186940e-04,1.412551e-02,3.995298e-02
RB SOR 3D,31,124,8.781303e-03,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,7.833750e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,1.550172e-01,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,3.543056e-01,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,7.782951e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,1.641380e+00,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,2.842561e+00,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,4.594447e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,6.934181e+00,1.382938e-04,3.911539e-04
"MG 3D(v, nu=3, w=1.25)",15,4,4.068600e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=1.25)",31,6,4.052830e-03,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=1.25)",47,6,1.695497e-02,1.539914e-03,4.355535e-03
"MG 3D(v, nu=3, w=1.25)",63,7,3.882329e-02,8.653042e-04,2.447450e-03
"MG 3D(v, nu=3, w=1.25)",95,7,9.553831e-02,3.842951e-04,1.086951e-03
"MG 3D(v, nu=3, w=1.25)",127,7,2.490100e-01,2.161100e-04,6.112514e-04
"MG 3D(v, nu=3, w=1.25)",191,7,1.010322e+00,9.603113e-05,2.716170e-04
"MG 3D(v, nu=3, w=1.25)",255,7,2.385314e+00,5.401401e-05,1.527747e-04
"MG 3D(v, nu=3, w=auto)",15,10,9.909080e-04,1.412551e-02,3.995298e-02
"MG 3D(v, nu=3, w=auto)",31,19,8.992829e-03,3.475092e-03,9.829044e-03
"MG 3D(v, nu=3, w=auto)",47,20,5.245280e-02,1.539817e-03,4.355267e-03
"MG 3D(v, nu=3, w=auto)",63,20,9.502693e-02,8.571689e-04,2.423350e-03
"MG 3D(v, nu=3, w=auto)",95,20,2.788629e-01,2.045529e-04,5.854814e-04
"MG 3D(v, nu=3, w=auto)",127,20,7.273492e-01,9.204025e-04,2.748320e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.780094e+00,4.908360e-03,1.454878e-02
"MG 3D(v, nu=3, w=auto)",255,20,6.600803e+00,1.197169e-02,3.566920e-02
"MG 3D(w, nu=3, w=1.25)",15,4,9.534370e-04,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=1.25)",31,6,4.710077e-03,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=1.25)",47,6,1.981058e-02,1.539914e-03,4.355535e-03
"MG 3D(w, nu=3, w=1.25)",63,6,4.053973e-02,8.653042e-04,2.447450e-03
"MG 3D(w, nu=3, w=1.25)",95,5,8.140652e-02,3.842951e-04,1.086951e-03
"MG 3D(w, nu=3, w=1.25)",127,5,2.135660e-01,2.161100e-04,6.112514e-04
"MG 3D(w, nu=3, w=1.25)",191,4,6.455034e-01,9.603113e-05,2.716170e-04
"MG 3D(w, nu=3, w=1.25)",255,4,1.558967e+00,5.401401e-05,1.527747e-04
"MG 3D(w, nu=3, w=auto)",15,10,2.022068e-03,1.412551e-02,3.995298e-02
"MG 3D(w, nu=3, w=auto)",31,19,1.889534e-02,3.475092e-03,9.829044e-03
"MG 3D(w, nu=3, w=auto)",47,20,5.641844e-02,1.539892e-03,4.355472e-03
"MG 3D(w, nu=3, w=auto)",63,20,1.071696e-01,8.652963e-04,2.447571e-03
"MG 3D(w, nu=3, w=auto)",95,20,3.159631e-01,3.844420e-04,1.088428e-03
"MG 3D(w, nu=3, w=auto)",127,20,8.387161e-01,2.164247e-04,6.350444e-04
"MG 3D(w, nu=3, w=auto)",191,20,3.113914e+00,1.006084e-04,3.970820e-04
"MG 3D(w, nu=3, w=auto)",255,20,7.533093e+00,6.280318e-05,2.658097e-04
