Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR 3D,15,73,6.413720e-04,1.138076e-03,3.218964e-03
RB SOR 3D,31,150,1.072862e-02,2.841076e-04,8.035777e-04
RB SOR 3D,47,228,7.821489e-02,1.262362e-04,3.570500e-04
RB SOR 3D,63,307,1.886901e-01,7.100123e-05,2.008218e-04
RB SOR 3D,79,387,4.347274e-01,4.543882e-05,1.285204e-04
RB SOR 3D,95,467,9.523600e-01,3.155399e-05,8.924816e-05
RB SOR 3D,111,548,2.015494e+00,2.318219e-05,6.556915e-05
RB SOR 3D,127,629,3.572522e+00,1.774870e-05,5.020091e-05
RB SOR 3D,143,710,5.944379e+00,1.402358e-05,3.966467e-05
RB SOR 3D,159,792,9.068956e+00,1.135905e-05,3.212824e-05
"MG 3D(v, nu=3, w=1.25)",15,7,2.826256e-03,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=1.25)",31,7,9.355295e-03,2.841076e-04,8.035777e-04
"MG 3D(v, nu=3, w=1.25)",47,7,2.055337e-02,1.262362e-04,3.570500e-04
"MG 3D(v, nu=3, w=1.25)",63,7,5.045511e-02,7.100123e-05,2.008218e-04
"MG 3D(v, nu=3, w=1.25)",95,7,9.609845e-02,3.155399e-05,8.924816e-05
"MG 3D(v, nu=3, w=1.25)",127,7,2.661666e-01,1.774870e-05,5.020091e-05
"MG 3D(v, nu=3, w=1.25)",191,7,9.957917e-01,7.888179e-06,2.231114e-05
"MG 3D(v, nu=3, w=1.25)",255,7,2.383310e+00,4.437074e-06,1.254994e-05
"MG 3D(v, nu=3, w=auto)",15,13,2.221042e-03,1.138076e-03,3.218964e-03
"MG 3D(v, nu=3, w=auto)",31,20,1.339515e-02,2.841072e-04,8.035765e-04
"MG 3D(v, nu=3, w=auto)",47,20,5.324579e-02,1.257263e-04,3.555994e-04
"MG 3D(v, nu=3, w=auto)",63,20,1.031708e-01,6.715804e-05,1.899055e-04
"MG 3D(v, nu=3, w=auto)",95,20,2.703352e-01,2.587782e-04,7.365719e-04
"MG 3D(v, nu=3, w=auto)",127,20,7.175101e-01,4.494532e-04,1.285157e-03
"MG 3D(v, nu=3, w=auto)",191,20,2.741012e+00,7.381181e-03,2.096288e-02
"MG 3D(v, nu=3, w=auto)",255,20,6.661934e+00,5.456043e-03,1.545992e-02
"MG 3D(w, nu=3, w=1.25)",15,6,1.336513e-03,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=1.25)",31,5,3.594801e-03,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=1.25)",47,5,1.643641e-02,1.262362e-04,3.570500e-04
"MG 3D(w, nu=3, w=1.25)",63,4,2.753363e-02,7.100123e-05,2.008218e-04
"MG 3D(w, nu=3, w=1.25)",95,4,6.295937e-02,3.155399e-05,8.924816e-05
"MG 3D(w, nu=3, w=1.25)",127,4,1.640943e-01,1.774870e-05,5.020092e-05
"MG 3D(w, nu=3, w=1.25)",191,4,6.338110e-01,7.888181e-06,2.231114e-05
"MG 3D(w, nu=3, w=1.25)",255,4,1.519784e+00,4.437076e-06,1.254995e-05
"MG 3D(w, nu=3, w=auto)",15,11,1.913515e-03,1.138076e-03,3.218964e-03
"MG 3D(w, nu=3, w=auto)",31,20,2.271795e-02,2.841076e-04,8.035777e-04
"MG 3D(w, nu=3, w=auto)",47,20,5.793688e-02,1.262363e-04,3.570510e-04
"MG 3D(w, nu=3, w=auto)",63,20,1.153810e-01,7.100214e-05,2.008431e-04
"MG 3D(w, nu=3, w=auto)",95,20,3.210489e-01,3.157127e-05,8.977631e-05
"MG 3D(w, nu=3, w=auto)",127,20,8.109713e-01,1.784010e-05,5.235014e-05
"MG 3D(w, nu=3, w=auto)",191,20,3.095776e+00,8.788724e-06,2.989690e-05
"MG 3D(w, nu=3, w=auto)",255,20,7.534087e+00,7.148725e-06,3.435142e-05
