Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,1185,6.039830e-03,6.287619e-13,1.778409e-12
Jacobi 3D,23,2676,4.784228e-02,6.281449e-13,1.776653e-12
Jacobi 3D,31,4762,2.287708e-01,6.321286e-13,1.787931e-12
Jacobi 3D,39,7445,6.627145e-01,6.320140e-13,1.787610e-12
Jacobi 3D,47,10723,1.583924e+00,6.336104e-13,1.792124e-12
Jacobi 3D,55,14597,3.378367e+00,6.345707e-13,1.794842e-12
Jacobi 3D,63,19068,6.667999e+00,6.344291e-13,1.794438e-12
RB GS 3D,15,602,9.071915e-03,4.391825e-13,1.230087e-12
RB GS 3D,23,1359,6.830508e-02,4.397583e-13,1.238466e-12
RB GS 3D,31,2417,2.169235e-01,4.476335e-13,1.263040e-12
RB GS 3D,39,3779,5.700753e-01,4.465615e-13,1.261118e-12
RB GS 3D,47,5443,1.390738e+00,4.472591e-13,1.263685e-12
RB GS 3D,55,7409,2.936958e+00,4.484465e-13,1.267405e-12
RB GS 3D,63,9678,5.706368e+00,4.486356e-13,1.268171e-12
RB SOR 3D,15,73,9.076480e-04,5.399247e-14,1.634665e-13
RB SOR 3D,23,111,4.705733e-03,4.055182e-14,1.212017e-13
RB SOR 3D,31,150,1.965779e-02,2.865629e-14,8.481237e-14
RB SOR 3D,47,228,9.023594e-02,2.007296e-14,5.855212e-14
RB SOR 3D,63,307,2.232314e-01,1.521997e-14,4.399085e-14
RB SOR 3D,79,386,4.736440e-01,1.287458e-14,3.701206e-14
RB SOR 3D,95,467,1.082378e+00,1.014213e-14,2.906182e-14
RB SOR 3D,111,547,2.152319e+00,9.028830e-15,2.578320e-14
RB SOR 3D,127,628,3.675399e+00,7.890664e-15,2.251151e-14
RB SOR 3D,143,709,5.982797e+00,7.107670e-15,2.025637e-14
RB SOR 3D,159,791,9.340976e+00,6.290286e-15,1.791102e-14
MG V-cycle 3D,15,11,1.394492e-03,4.499949e-14,1.243502e-13
MG V-cycle 3D,31,11,5.709925e-03,8.222857e-14,2.262999e-13
MG V-cycle 3D,47,11,2.041948e-02,3.963173e-13,1.114055e-12
MG V-cycle 3D,63,11,4.802154e-02,9.520972e-14,2.614072e-13
MG V-cycle 3D,95,11,1.253432e-01,4.169728e-13,1.172602e-12
MG V-cycle 3D,127,11,3.224636e-01,9.873698e-14,2.709222e-13
MG V-cycle 3D,191,11,1.247423e+00,4.222939e-13,1.187642e-12
MG V-cycle 3D,255,11,3.030779e+00,9.964158e-14,2.733560e-13
MG W-cycle 3D,15,8,1.028553e-03,5.529574e-14,1.271171e-13
MG W-cycle 3D,31,8,4.586752e-03,1.510819e-15,4.258963e-15
MG W-cycle 3D,47,7,1.721449e-02,7.121550e-15,2.109033e-14
MG W-cycle 3D,63,7,4.008270e-02,3.040363e-15,1.113692e-14
MG W-cycle 3D,95,7,9.866253e-02,1.014727e-15,4.740132e-15
MG W-cycle 3D,127,7,2.312565e-01,4.891680e-16,2.627943e-15
MG W-cycle 3D,191,7,8.859101e-01,1.721079e-16,1.155597e-15
MG W-cycle 3D,255,7,2.156460e+00,1.443416e-16,7.060325e-16
