Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi 3D,15,117,5.988160e-04,1.412551e-02,3.995298e-02
Jacobi 3D,23,272,4.691901e-03,6.203668e-03,1.754662e-02
Jacobi 3D,31,488,2.772257e-02,3.475092e-03,9.829044e-03
Jacobi 3D,39,766,7.935875e-02,2.219790e-03,6.278515e-03
Jacobi 3D,47,1106,1.743978e-01,1.539914e-03,4.355534e-03
Jacobi 3D,55,1508,3.668254e-01,1.130654e-03,3.197973e-03
Jacobi 3D,63,1971,6.986061e-01,8.653042e-04,2.447450e-03
RB GS 3D,15,60,7.913290e-04,1.412551e-02,3.995298e-02
RB GS 3D,23,138,7.285684e-03,6.203668e-03,1.754662e-02
RB GS 3D,31,248,2.936908e-02,3.475092e-03,9.829044e-03
RB GS 3D,39,389,8.152788e-02,2.219790e-03,6.278515e-03
RB GS 3D,47,562,1.776008e-01,1.539914e-03,4.355535e-03
RB GS 3D,55,766,3.211335e-01,1.130654e-03,3.197973e-03
RB GS 3D,63,1001,5.957714e-01,8.653042e-04,2.447450e-03
RB SOR 3D,15,60,9.075170e-04,1.412551e-02,3.995298e-02
RB SOR 3D,23,93,4.764758e-03,6.203668e-03,1.754662e-02
RB SOR 3D,31,124,1.707257e-02,3.475092e-03,9.829044e-03
RB SOR 3D,47,187,6.680604e-02,1.539914e-03,4.355535e-03
RB SOR 3D,63,239,1.543538e-01,8.653042e-04,2.447450e-03
RB SOR 3D,79,299,3.548791e-01,5.535291e-04,1.565617e-03
RB SOR 3D,95,374,7.828061e-01,3.842951e-04,1.086951e-03
RB SOR 3D,111,437,1.629815e+00,2.822949e-04,7.984506e-04
RB SOR 3D,127,478,2.790717e+00,2.161100e-04,6.112513e-04
RB SOR 3D,143,538,4.418240e+00,1.707416e-04,4.829303e-04
RB SOR 3D,159,598,7.052347e+00,1.382938e-04,3.911539e-04
MG V-cycle 3D,15,9,1.392554e-03,1.412551e-02,3.995298e-02
MG V-cycle 3D,31,11,6.823802e-03,3.475092e-03,9.829044e-03
MG V-cycle 3D,47,11,2.095275e-02,1.539914e-03,4.355535e-03
MG V-cycle 3D,63,11,5.163434e-02,8.653042e-04,2.447450e-03
MG V-cycle 3D,95,11,1.232926e-01,3.842951e-04,1.086951e-03
MG V-cycle 3D,127,11,3.376390e-01,2.161100e-04,6.112514e-04
MG V-cycle 3D,191,11,1.254157e+00,9.603111e-05,2.716170e-04
MG V-cycle 3D,255,11,3.127385e+00,5.401400e-05,1.527747e-04
MG W-cycle 3D,15,9,1.474352e-03,1.412551e-02,3.995298e-02
MG W-cycle 3D,31,9,8.181105e-03,3.475092e-03,9.829044e-03
MG W-cycle 3D,47,8,2.323095e-02,1.539914e-03,4.355535e-03
MG W-cycle 3D,63,7,3.803599e-02,8.653042e-04,2.447450e-03
MG W-cycle 3D,95,6,8.103457e-02,3.842951e-04,1.086951e-03
MG W-cycle 3D,127,6,2.161464e-01,2.161100e-04,6.112514e-04
MG W-cycle 3D,191,5,7.072065e-01,9.603113e-05,2.716170e-04
MG W-cycle 3D,255,5,1.794448e+00,5.401401e-05,1.527747e-04
