Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,3.960700e-05,2.959508e-13,6.311271e-13
RB SOR,31,150,2.899030e-04,1.570729e-13,3.274811e-13
RB SOR,63,307,2.431454e-03,8.340518e-14,1.709397e-13
RB SOR,127,628,2.068425e-02,4.321263e-14,8.750639e-14
RB SOR,255,1284,1.883754e-01,2.226765e-14,4.481832e-14
RB SOR,511,2637,1.354416e+00,9.832142e-15,1.972728e-14
"MG(v, nu=3, w=1.25)",15,6,1.152240e-04,2.011318e-11,2.976985e-11
"MG(v, nu=3, w=1.25)",31,6,2.441030e-04,4.106550e-11,5.767290e-11
"MG(v, nu=3, w=1.25)",63,6,5.852260e-04,5.101093e-11,7.229634e-11
"MG(v, nu=3, w=1.25)",127,6,1.945737e-03,5.479397e-11,8.165988e-11
"MG(v, nu=3, w=1.25)",255,6,7.413951e-03,5.614408e-11,8.901551e-11
"MG(v, nu=3, w=1.25)",511,6,3.056961e-02,5.659978e-11,9.422735e-11
"MG(v, nu=3, w=auto)",15,11,2.129450e-04,3.305151e-11,7.325987e-11
"MG(v, nu=3, w=auto)",31,20,1.015635e-03,5.191015e-11,1.088795e-10
"MG(v, nu=3, w=auto)",63,35,3.452446e-03,1.016671e-10,2.274289e-10
"MG(v, nu=3, w=auto)",127,64,2.101604e-02,1.756109e-10,6.078643e-10
"MG(v, nu=3, w=auto)",255,122,1.267391e-01,2.498059e-10,1.004571e-09
"MG(v, nu=3, w=auto)",511,200,7.397081e-01,7.412199e-09,2.431521e-08
"MG(w, nu=3, w=1.25)",15,6,2.225180e-04,1.292331e-12,2.181918e-12
"MG(w, nu=3, w=1.25)",31,5,4.669770e-04,1.026637e-11,2.914208e-11
"MG(w, nu=3, w=1.25)",63,5,1.597568e-03,2.140381e-12,8.760216e-12
"MG(w, nu=3, w=1.25)",127,5,3.626436e-03,6.059811e-13,2.825744e-12
"MG(w, nu=3, w=1.25)",255,4,1.315509e-02,1.864029e-11,1.282595e-10
"MG(w, nu=3, w=1.25)",511,4,4.047827e-02,6.636366e-12,6.484556e-11
"MG(w, nu=3, w=auto)",15,10,3.677710e-04,1.395589e-11,3.158620e-11
"MG(w, nu=3, w=auto)",31,17,1.583342e-03,8.959819e-12,3.173970e-11
"MG(w, nu=3, w=auto)",63,31,8.116819e-03,6.449566e-12,2.737599e-11
"MG(w, nu=3, w=auto)",127,58,4.878408e-02,6.131800e-12,1.832190e-11
"MG(w, nu=3, w=auto)",255,107,1.936142e-01,7.428516e-12,2.801975e-11
"MG(w, nu=3, w=auto)",511,198,1.172484e+00,7.835341e-12,4.976724e-11
