Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,67,3.710701e-05,2.953815e-04,5.717083e-04
RB SOR,31,138,2.716550e-04,7.433228e-05,1.438535e-04
RB SOR,63,286,2.193278e-03,1.861234e-05,3.615085e-05
RB SOR,127,592,1.901999e-02,4.654896e-06,9.044184e-06
RB SOR,255,1227,1.783203e-01,1.163837e-06,2.262062e-06
RB SOR,511,2546,1.306178e+00,2.909663e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,5,9.823999e-05,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,6,2.560300e-04,7.433226e-05,1.438534e-04
"MG(v, nu=3, w=1.25)",63,6,5.752570e-04,1.861226e-05,3.615075e-05
"MG(v, nu=3, w=1.25)",127,6,2.028805e-03,4.654751e-06,9.044000e-06
"MG(v, nu=3, w=1.25)",255,6,1.042793e-02,1.163658e-06,2.261850e-06
"MG(v, nu=3, w=1.25)",511,6,3.059040e-02,2.907722e-07,5.653028e-07
"MG(v, nu=3, w=auto)",15,9,2.874310e-04,2.953815e-04,5.717082e-04
"MG(v, nu=3, w=auto)",31,19,1.042867e-03,7.433284e-05,1.438545e-04
"MG(v, nu=3, w=auto)",63,37,4.757924e-03,1.861351e-05,3.615418e-05
"MG(v, nu=3, w=auto)",127,71,4.178267e-02,4.655881e-06,9.045629e-06
"MG(v, nu=3, w=auto)",255,138,1.428519e-01,1.163043e-06,2.259488e-06
"MG(v, nu=3, w=auto)",511,200,7.214433e-01,2.943258e-07,1.155036e-06
"MG(w, nu=3, w=1.25)",15,5,1.875780e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,5,4.579580e-04,7.433198e-05,1.438532e-04
"MG(w, nu=3, w=1.25)",63,5,1.215909e-03,1.861225e-05,3.615082e-05
"MG(w, nu=3, w=1.25)",127,5,3.525558e-03,4.654878e-06,9.044180e-06
"MG(w, nu=3, w=1.25)",255,5,1.447514e-02,1.163833e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,5,4.231665e-02,2.909653e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,9,3.373280e-04,2.953815e-04,5.717082e-04
"MG(w, nu=3, w=auto)",31,18,1.711442e-03,7.433217e-05,1.438533e-04
"MG(w, nu=3, w=auto)",63,35,9.474880e-03,1.861235e-05,3.615052e-05
"MG(w, nu=3, w=auto)",127,67,5.255213e-02,4.654897e-06,9.044373e-06
"MG(w, nu=3, w=auto)",255,129,2.285320e-01,1.163837e-06,2.261888e-06
"MG(w, nu=3, w=auto)",511,200,1.160647e+00,2.910944e-07,5.892342e-07
