Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,5.142301e-05,7.711186e-05,1.399549e-04
RB SOR,31,161,3.077150e-04,1.933384e-05,3.508534e-05
RB SOR,63,328,2.483925e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,2.100125e-02,1.209449e-06,2.196785e-06
RB SOR,255,1416,2.022981e-01,3.023758e-07,5.492651e-07
RB SOR,511,100000,5.036474e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,6,8.136399e-05,7.711034e-05,1.399531e-04
"MG(v, nu=3, w=1.25)",31,6,1.542800e-04,1.933048e-05,3.508164e-05
"MG(v, nu=3, w=1.25)",63,6,4.113370e-04,4.832577e-06,8.780886e-06
"MG(v, nu=3, w=1.25)",127,6,1.386393e-03,1.204680e-06,2.191668e-06
"MG(v, nu=3, w=1.25)",255,6,6.653846e-03,2.974619e-07,5.440184e-07
"MG(v, nu=3, w=1.25)",511,6,3.180866e-02,7.070889e-08,1.320244e-07
"MG(v, nu=3, w=auto)",15,11,2.380210e-04,7.711412e-05,1.399599e-04
"MG(v, nu=3, w=auto)",31,20,7.794500e-04,1.932985e-05,3.507613e-05
"MG(v, nu=3, w=auto)",63,37,3.615653e-03,4.840622e-06,8.783754e-06
"MG(v, nu=3, w=auto)",127,72,2.389512e-02,1.207743e-06,2.206564e-06
"MG(v, nu=3, w=auto)",255,139,1.442427e-01,3.045936e-07,5.545941e-07
"MG(v, nu=3, w=auto)",511,200,7.205424e-01,4.106969e-06,2.120521e-05
"MG(w, nu=3, w=1.25)",15,6,2.810080e-04,7.711177e-05,1.399548e-04
"MG(w, nu=3, w=1.25)",31,5,4.611850e-04,1.933306e-05,3.508508e-05
"MG(w, nu=3, w=1.25)",63,5,1.234828e-03,4.836784e-06,8.785582e-06
"MG(w, nu=3, w=1.25)",127,5,4.287566e-03,1.209417e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,5,1.566990e-02,3.023684e-07,5.492653e-07
"MG(w, nu=3, w=1.25)",511,5,4.676985e-02,7.559327e-08,1.373180e-07
"MG(w, nu=3, w=auto)",15,10,3.731480e-04,7.711087e-05,1.399525e-04
"MG(w, nu=3, w=auto)",31,18,4.102238e-03,1.933360e-05,3.509102e-05
"MG(w, nu=3, w=auto)",63,34,1.013993e-02,4.836909e-06,8.788068e-06
"MG(w, nu=3, w=auto)",127,66,4.987093e-02,1.209448e-06,2.197218e-06
"MG(w, nu=3, w=auto)",255,128,2.246102e-01,3.023766e-07,5.501485e-07
"MG(w, nu=3, w=auto)",511,200,1.175170e+00,8.665968e-08,3.070091e-07
