Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,61,3.382801e-05,1.214909e-02,2.429817e-02
RB SOR,31,123,2.444200e-04,3.006631e-03,6.013262e-03
RB SOR,63,245,1.897211e-03,7.497604e-04,1.499521e-03
RB SOR,127,491,1.582635e-02,1.873218e-04,3.746436e-04
RB SOR,255,982,1.570952e-01,4.682304e-05,9.364609e-05
RB SOR,511,1965,1.020212e+00,1.170529e-05,2.341057e-05
"MG(v, nu=3, w=1.25)",15,5,1.002450e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,6,2.257710e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,6,5.819460e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,6,1.933060e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,6,1.214444e-02,4.682302e-05,9.364615e-05
"MG(v, nu=3, w=1.25)",511,6,3.502365e-02,1.170526e-05,2.341063e-05
"MG(v, nu=3, w=auto)",15,9,1.735410e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,18,1.001590e-03,3.006630e-03,6.013260e-03
"MG(v, nu=3, w=auto)",63,38,3.869465e-03,7.497592e-04,1.499518e-03
"MG(v, nu=3, w=auto)",127,72,3.074142e-02,1.873194e-04,3.746387e-04
"MG(v, nu=3, w=auto)",255,134,1.389757e-01,4.681966e-05,9.364102e-05
"MG(v, nu=3, w=auto)",511,200,7.402519e-01,1.156781e-05,2.327146e-05
"MG(w, nu=3, w=1.25)",15,5,1.905720e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,5,4.658080e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,5,1.232229e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,5,3.535260e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,5,1.252683e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,4,3.684491e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,9,3.664160e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,18,2.666573e-03,3.006630e-03,6.013260e-03
"MG(w, nu=3, w=auto)",63,32,1.241073e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,61,7.008602e-02,1.873218e-04,3.746434e-04
"MG(w, nu=3, w=auto)",255,111,2.011334e-01,4.682306e-05,9.364616e-05
"MG(w, nu=3, w=auto)",511,200,1.262323e+00,1.170525e-05,2.341024e-05
