Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,6.699600e-05,1.609482e-03,3.218964e-03
RB SOR,31,150,2.924330e-04,4.017888e-04,8.035777e-04
RB SOR,63,307,2.358670e-03,1.004109e-04,2.008218e-04
RB SOR,127,629,1.997403e-02,2.510046e-05,5.020091e-05
RB SOR,255,1287,1.849030e-01,6.274972e-06,1.254994e-05
RB SOR,511,2643,1.342139e+00,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,6,1.558590e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,6,1.501260e-04,4.017883e-04,8.035771e-04
"MG(v, nu=3, w=1.25)",63,6,4.018540e-04,1.004103e-04,2.008211e-04
"MG(v, nu=3, w=1.25)",127,6,1.367250e-03,2.509983e-05,5.020022e-05
"MG(v, nu=3, w=1.25)",255,6,7.041939e-03,6.274344e-06,1.254925e-05
"MG(v, nu=3, w=1.25)",511,6,3.259994e-02,1.568107e-06,3.136776e-06
"MG(v, nu=3, w=auto)",15,11,2.144030e-04,1.609483e-03,3.218965e-03
"MG(v, nu=3, w=auto)",31,20,7.671100e-04,4.017881e-04,8.035764e-04
"MG(v, nu=3, w=auto)",63,34,3.517948e-03,1.004083e-04,2.008194e-04
"MG(v, nu=3, w=auto)",127,63,2.345526e-02,2.510174e-05,5.019203e-05
"MG(v, nu=3, w=auto)",255,120,1.285738e-01,6.274345e-06,1.256804e-05
"MG(v, nu=3, w=auto)",511,200,7.135730e-01,1.552447e-06,3.335176e-06
"MG(w, nu=3, w=1.25)",15,6,3.623070e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,5,7.831150e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,5,1.911943e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,5,1.019686e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,4,1.666841e-02,6.274967e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,4,3.964507e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,10,3.733410e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,17,2.923693e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,31,7.563091e-03,1.004109e-04,2.008215e-04
"MG(w, nu=3, w=auto)",127,57,4.146521e-02,2.510045e-05,5.020095e-05
"MG(w, nu=3, w=auto)",255,106,1.869370e-01,6.274970e-06,1.255002e-05
"MG(w, nu=3, w=auto)",511,197,1.189265e+00,1.568738e-06,3.137499e-06
