Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,24,2.125300e-05,2.675429e-05,5.664304e-05
RB SOR,31,51,1.551520e-04,1.621832e-05,3.346428e-05
RB SOR,63,109,1.336750e-03,8.745391e-06,1.792610e-05
RB SOR,127,232,1.171245e-02,4.215578e-06,8.597970e-06
RB SOR,255,543,1.292770e-01,7.948622e-07,1.430511e-06
RB SOR,511,100000,7.956742e+01,1.036215e-06,1.956767e-06
"MG(v, nu=3, w=1.25)",15,1,4.398600e-05,9.806141e-04,1.458667e-03
"MG(v, nu=3, w=1.25)",31,1,6.907199e-05,1.022440e-03,1.425680e-03
"MG(v, nu=3, w=1.25)",63,1,1.602720e-04,1.017218e-03,1.270171e-03
"MG(v, nu=3, w=1.25)",127,1,5.229780e-04,1.012232e-03,1.252519e-03
"MG(v, nu=3, w=1.25)",255,1,1.606881e-03,1.010326e-03,1.248756e-03
"MG(v, nu=3, w=1.25)",511,1,6.281703e-03,1.009718e-03,1.247784e-03
"MG(v, nu=3, w=auto)",15,1,3.038200e-05,5.238483e-03,1.053804e-02
"MG(v, nu=3, w=auto)",31,1,6.082200e-05,1.200952e-02,2.245884e-02
"MG(v, nu=3, w=auto)",63,1,1.289720e-04,1.887804e-02,3.487765e-02
"MG(v, nu=3, w=auto)",127,1,4.336110e-04,2.396219e-02,4.459872e-02
"MG(v, nu=3, w=auto)",255,1,1.607124e-03,2.709343e-02,5.032397e-02
"MG(v, nu=3, w=auto)",511,1,1.039784e-02,2.883761e-02,5.348150e-02
"MG(w, nu=3, w=1.25)",15,1,4.724701e-05,6.174323e-04,1.079269e-03
"MG(w, nu=3, w=1.25)",31,1,1.111360e-04,2.697986e-04,6.480590e-04
"MG(w, nu=3, w=1.25)",63,1,2.849660e-04,1.033588e-04,3.567040e-04
"MG(w, nu=3, w=1.25)",127,1,8.547540e-04,3.809908e-05,1.865802e-04
"MG(w, nu=3, w=1.25)",255,1,2.764577e-03,1.377189e-05,9.536906e-05
"MG(w, nu=3, w=1.25)",511,1,9.829340e-03,4.924990e-06,4.821230e-05
"MG(w, nu=3, w=auto)",15,1,5.041300e-05,3.824801e-03,7.630922e-03
"MG(w, nu=3, w=auto)",31,1,1.296670e-04,1.335150e-03,3.091287e-03
"MG(w, nu=3, w=auto)",63,1,2.954320e-04,3.888815e-03,7.641256e-03
"MG(w, nu=3, w=auto)",127,1,8.729140e-04,9.691144e-04,2.399661e-03
"MG(w, nu=3, w=auto)",255,1,2.963065e-03,5.703986e-04,1.475873e-03
"MG(w, nu=3, w=auto)",511,1,1.084144e-02,6.440859e-04,1.623593e-03
