Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,19,1.753600e-05,2.084863e-04,4.259622e-04
RB SOR,31,44,1.444550e-04,1.007833e-04,2.905726e-04
RB SOR,63,99,1.247393e-03,4.241600e-05,9.746062e-05
RB SOR,127,217,1.065237e-02,6.338123e-06,2.688971e-05
RB SOR,255,502,1.272051e-01,3.032937e-06,8.858285e-06
RB SOR,511,100000,7.940373e+01,1.169952e-06,6.298321e-06
"MG(v, nu=3, w=1.25)",15,1,3.114300e-05,3.226141e-03,8.142441e-03
"MG(v, nu=3, w=1.25)",31,1,4.780899e-05,9.012398e-03,2.519114e-02
"MG(v, nu=3, w=1.25)",63,1,1.250860e-04,1.200860e-02,3.455059e-02
"MG(v, nu=3, w=1.25)",127,1,4.124800e-04,1.336967e-02,4.097607e-02
"MG(v, nu=3, w=1.25)",255,1,1.592230e-03,1.397260e-02,4.396761e-02
"MG(v, nu=3, w=1.25)",511,1,6.124009e-03,1.424204e-02,4.606424e-02
"MG(v, nu=3, w=auto)",15,2,4.884400e-05,1.706295e-03,4.539376e-03
"MG(v, nu=3, w=auto)",31,3,1.337170e-04,1.591322e-02,3.497736e-02
"MG(v, nu=3, w=auto)",63,4,4.750740e-04,5.319785e-02,1.508223e-01
"MG(v, nu=3, w=auto)",127,7,4.970870e-03,6.780482e-02,2.027248e-01
"MG(v, nu=3, w=auto)",255,9,1.514817e-02,1.254309e-01,3.718414e-01
"MG(v, nu=3, w=auto)",511,11,6.401834e-02,1.879210e-01,6.381470e-01
"MG(w, nu=3, w=1.25)",15,1,4.605000e-05,3.224501e-03,8.138805e-03
"MG(w, nu=3, w=1.25)",31,1,1.077850e-04,7.258010e-03,2.294458e-02
"MG(w, nu=3, w=1.25)",63,1,2.830760e-04,6.060723e-03,2.742902e-02
"MG(w, nu=3, w=1.25)",127,1,8.249340e-04,4.402248e-03,2.855762e-02
"MG(w, nu=3, w=1.25)",255,1,2.867476e-03,3.123890e-03,2.883621e-02
"MG(w, nu=3, w=1.25)",511,1,9.918135e-03,2.209056e-03,2.890536e-02
"MG(w, nu=3, w=auto)",15,2,8.906900e-05,1.646893e-03,4.235601e-03
"MG(w, nu=3, w=auto)",31,2,2.161590e-04,3.724157e-02,1.061532e-01
"MG(w, nu=3, w=auto)",63,4,1.115912e-03,1.674048e-02,6.004057e-02
"MG(w, nu=3, w=auto)",127,5,4.405835e-03,2.691738e-02,1.470340e-01
"MG(w, nu=3, w=auto)",255,7,2.035518e-02,2.880027e-02,1.832876e-01
"MG(w, nu=3, w=auto)",511,10,8.555732e-02,2.688863e-02,2.362036e-01
