Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,29,6.181501e-05,2.297969e-04,5.820938e-04
RB SOR,31,62,1.854040e-04,1.351612e-04,2.940206e-04
RB SOR,63,132,1.611704e-03,7.207387e-05,1.501326e-04
RB SOR,127,100000,4.912101e+00,2.277857e-05,5.375204e-05
RB SOR,255,100000,1.962909e+01,4.228604e-05,1.203310e-04
RB SOR,511,100000,7.977247e+01,8.379949e-05,1.981027e-04
"MG(v, nu=3, w=1.25)",15,1,3.729800e-05,7.857908e-02,1.457494e-01
"MG(v, nu=3, w=1.25)",31,1,3.397799e-05,9.618788e-02,2.019743e-01
"MG(v, nu=3, w=1.25)",63,1,9.164300e-05,1.046388e-01,2.482215e-01
"MG(v, nu=3, w=1.25)",127,1,3.140770e-04,1.085933e-01,2.862843e-01
"MG(v, nu=3, w=1.25)",255,1,1.616290e-03,1.104271e-01,3.090720e-01
"MG(v, nu=3, w=1.25)",511,1,7.290325e-03,1.112813e-01,3.253795e-01
"MG(v, nu=3, w=auto)",15,2,4.811300e-05,5.841397e-02,1.443149e-01
"MG(v, nu=3, w=auto)",31,2,9.722900e-05,3.679104e-01,1.009488e+00
"MG(v, nu=3, w=auto)",63,3,3.493140e-04,5.795933e-01,1.673695e+00
"MG(v, nu=3, w=auto)",127,5,1.934739e-03,6.926206e-01,2.240030e+00
"MG(v, nu=3, w=auto)",255,7,1.006353e-02,9.186098e-01,3.549090e+00
"MG(v, nu=3, w=auto)",511,7,4.052639e-02,1.376172e+00,5.800556e+00
"MG(w, nu=3, w=1.25)",15,1,4.637700e-05,5.323091e-02,1.261399e-01
"MG(w, nu=3, w=1.25)",31,1,1.114000e-04,4.134392e-02,1.617693e-01
"MG(w, nu=3, w=1.25)",63,1,2.881060e-04,3.071945e-02,1.857048e-01
"MG(w, nu=3, w=1.25)",127,1,8.606920e-04,2.229214e-02,1.992031e-01
"MG(w, nu=3, w=1.25)",255,1,2.817699e-03,1.596426e-02,2.063424e-01
"MG(w, nu=3, w=1.25)",511,1,9.797964e-03,1.135859e-02,2.100131e-01
"MG(w, nu=3, w=auto)",15,2,8.927900e-05,3.560520e-02,9.818443e-02
"MG(w, nu=3, w=auto)",31,2,2.151720e-04,1.558738e-01,6.117329e-01
"MG(w, nu=3, w=auto)",63,3,8.674910e-04,1.563758e-01,7.786873e-01
"MG(w, nu=3, w=auto)",127,5,4.059966e-03,1.373761e-01,1.041598e+00
"MG(w, nu=3, w=auto)",255,6,1.640176e-02,1.845602e-01,1.673823e+00
"MG(w, nu=3, w=auto)",511,8,6.785553e-02,1.849538e-01,2.319891e+00
