Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,14,1.398001e-05,9.936307e-03,2.029610e-02
RB SOR,31,27,8.403900e-05,6.668064e-04,1.405351e-03
RB SOR,63,55,6.772040e-04,1.593534e-03,3.213889e-03
RB SOR,127,109,5.292093e-03,2.167111e-03,4.336953e-03
RB SOR,255,218,6.914769e-02,2.307367e-03,4.615486e-03
RB SOR,511,437,3.703064e-01,2.341648e-03,4.684935e-03
"MG(v, nu=3, w=1.25)",15,1,2.860700e-05,1.268045e-02,2.787987e-02
"MG(v, nu=3, w=1.25)",31,1,4.759200e-05,5.264867e-03,1.519036e-02
"MG(v, nu=3, w=1.25)",63,1,1.251370e-04,6.612085e-03,2.075181e-02
"MG(v, nu=3, w=1.25)",127,1,4.580630e-04,6.853466e-03,1.970407e-02
"MG(v, nu=3, w=1.25)",255,1,1.871874e-03,6.860249e-03,1.836915e-02
"MG(v, nu=3, w=1.25)",511,1,7.334661e-03,6.850857e-03,1.825331e-02
"MG(v, nu=3, w=auto)",15,2,4.823301e-05,1.315715e-02,2.925560e-02
"MG(v, nu=3, w=auto)",31,1,6.451800e-05,1.719889e-01,3.484576e-01
"MG(v, nu=3, w=auto)",63,1,1.252590e-04,2.970888e-01,5.982949e-01
"MG(v, nu=3, w=auto)",127,1,4.303350e-04,3.813221e-01,7.656243e-01
"MG(v, nu=3, w=auto)",255,1,1.645149e-03,4.315887e-01,8.686776e-01
"MG(v, nu=3, w=auto)",511,1,7.160086e-03,4.593357e-01,9.231012e-01
"MG(w, nu=3, w=1.25)",15,1,5.277499e-05,1.266758e-02,2.785060e-02
"MG(w, nu=3, w=1.25)",31,1,2.278595e-03,4.919012e-03,1.498371e-02
"MG(w, nu=3, w=1.25)",63,1,3.067640e-04,2.989517e-03,1.239167e-02
"MG(w, nu=3, w=1.25)",127,1,8.599960e-04,1.193023e-03,7.058596e-03
"MG(w, nu=3, w=1.25)",255,1,3.517805e-03,4.339689e-04,3.638903e-03
"MG(w, nu=3, w=1.25)",511,1,1.411379e-02,1.544151e-04,1.833069e-03
"MG(w, nu=3, w=auto)",15,2,9.128101e-05,1.310586e-02,2.937159e-02
"MG(w, nu=3, w=auto)",31,1,1.107540e-04,1.768878e-01,3.530361e-01
"MG(w, nu=3, w=auto)",63,2,5.691960e-04,5.090464e-02,1.152121e-01
"MG(w, nu=3, w=auto)",127,1,1.843521e-03,1.865149e-01,3.774455e-01
"MG(w, nu=3, w=auto)",255,1,2.959631e-03,1.512294e-01,3.090484e-01
"MG(w, nu=3, w=auto)",511,1,1.401947e-02,9.524306e-02,1.999473e-01
