Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,24,5.130300e-05,1.207953e-03,2.486467e-03
RB SOR,31,51,1.533640e-04,1.586096e-04,3.380775e-04
RB SOR,63,109,1.336624e-03,3.121525e-05,6.795577e-05
RB SOR,127,234,1.173865e-02,3.815801e-05,7.857513e-05
RB SOR,255,546,1.356586e-01,3.418343e-05,7.032976e-05
RB SOR,511,100000,7.950490e+01,6.742995e-06,2.031684e-05
"MG(v, nu=3, w=1.25)",15,1,4.990000e-05,1.306135e-02,1.972317e-02
"MG(v, nu=3, w=1.25)",31,1,3.540800e-05,1.461675e-02,2.051764e-02
"MG(v, nu=3, w=1.25)",63,1,9.083301e-05,1.477979e-02,1.864735e-02
"MG(v, nu=3, w=1.25)",127,1,3.105870e-04,1.477470e-02,1.847222e-02
"MG(v, nu=3, w=1.25)",255,1,1.704747e-03,1.476552e-02,1.843520e-02
"MG(v, nu=3, w=1.25)",511,1,6.289477e-03,1.476199e-02,1.842737e-02
"MG(v, nu=3, w=auto)",15,2,5.552400e-05,1.061263e-02,2.426502e-02
"MG(v, nu=3, w=auto)",31,1,5.941100e-05,1.806580e-01,3.592397e-01
"MG(v, nu=3, w=auto)",63,1,1.582410e-04,2.833220e-01,5.588663e-01
"MG(v, nu=3, w=auto)",127,1,4.177610e-04,3.595150e-01,7.161551e-01
"MG(v, nu=3, w=auto)",255,1,2.482760e-03,4.064771e-01,8.084573e-01
"MG(v, nu=3, w=auto)",511,1,7.627345e-03,4.326423e-01,8.587490e-01
"MG(w, nu=3, w=1.25)",15,1,5.679901e-05,7.971084e-03,1.464680e-02
"MG(w, nu=3, w=1.25)",31,1,1.486180e-04,3.609238e-03,8.933618e-03
"MG(w, nu=3, w=1.25)",63,1,2.865080e-04,1.346311e-03,4.788152e-03
"MG(w, nu=3, w=1.25)",127,1,8.484830e-04,4.825682e-04,2.436225e-03
"MG(w, nu=3, w=1.25)",255,1,2.840240e-03,1.712558e-04,1.223384e-03
"MG(w, nu=3, w=1.25)",511,1,1.009590e-02,6.061029e-05,6.123982e-04
"MG(w, nu=3, w=auto)",15,1,5.284201e-05,5.910760e-02,1.225350e-01
"MG(w, nu=3, w=auto)",31,1,1.117800e-04,1.911479e-02,4.799354e-02
"MG(w, nu=3, w=auto)",63,1,3.164260e-04,5.845679e-02,1.138650e-01
"MG(w, nu=3, w=auto)",127,1,8.891760e-04,1.411181e-02,2.891409e-02
"MG(w, nu=3, w=auto)",255,1,3.741189e-03,9.365699e-03,2.428113e-02
"MG(w, nu=3, w=auto)",511,1,1.141480e-02,9.856414e-03,2.366148e-02
