Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1185,4.130300e-04,3.446380e-12,6.892764e-12
Jacobi,23,2674,1.614140e-03,3.502649e-12,7.005292e-12
Jacobi,31,4760,4.647838e-03,3.498426e-12,6.996848e-12
Jacobi,47,10717,2.333388e-02,3.517866e-12,7.035740e-12
Jacobi,63,19057,7.538806e-02,3.523838e-12,7.047675e-12
Jacobi,95,42884,3.741834e-01,3.531017e-12,7.062143e-12
Jacobi,127,76241,1.215928e+00,3.534426e-12,7.068846e-12
RB GS,15,602,1.193220e-03,2.407255e-12,4.767582e-12
RB GS,23,1358,2.143173e-03,2.452168e-12,4.883219e-12
RB GS,31,2416,6.620944e-03,2.477366e-12,4.942768e-12
RB GS,47,5440,4.206794e-02,2.483223e-12,4.961136e-12
RB GS,63,9673,8.289152e-02,2.488872e-12,4.974750e-12
RB GS,95,21766,3.787002e-01,2.496297e-12,4.991375e-12
RB GS,127,38696,1.240436e+00,2.499245e-12,4.997738e-12
RB SOR,15,73,9.089700e-05,2.959508e-13,6.311271e-13
RB SOR,23,111,2.100440e-04,2.222528e-13,4.671402e-13
RB SOR,31,150,4.928740e-04,1.570729e-13,3.274811e-13
RB SOR,47,228,1.671275e-03,1.100024e-13,2.268255e-13
RB SOR,63,307,5.145972e-03,8.340518e-14,1.709397e-13
RB SOR,95,466,1.566058e-02,5.920437e-14,1.205286e-13
RB SOR,127,628,3.364087e-02,4.321263e-14,8.750639e-14
MG V-cycle,15,11,2.153657e-03,9.418958e-12,1.352421e-11
MG V-cycle,23,11,2.830470e-04,5.296487e-11,7.275258e-11
MG V-cycle,31,11,3.877110e-04,2.458763e-11,3.763555e-11
MG V-cycle,47,11,6.048470e-04,7.550753e-11,1.105783e-10
MG V-cycle,63,11,8.560150e-04,3.682589e-11,6.360046e-11
MG V-cycle,95,11,1.744000e-03,8.785235e-11,1.429537e-10
MG V-cycle,127,11,2.873894e-03,4.459959e-11,9.049167e-11
MG W-cycle,15,9,3.562800e-04,5.691752e-12,1.140083e-11
MG W-cycle,23,8,5.633990e-04,2.554166e-11,6.658750e-11
MG W-cycle,31,8,7.228590e-04,1.368262e-11,4.012565e-11
MG W-cycle,47,8,1.665218e-03,6.213099e-12,1.903744e-11
MG W-cycle,63,8,1.814602e-03,3.772061e-12,1.405608e-11
MG W-cycle,95,7,3.550895e-03,2.570002e-11,1.231860e-10
MG W-cycle,127,7,4.653924e-03,1.656874e-11,9.259753e-11
