Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,306,8.976000e-05,2.953815e-04,5.717083e-04
Jacobi,23,697,4.185510e-04,1.319268e-04,2.556500e-04
Jacobi,31,1245,1.256736e-03,7.433227e-05,1.438534e-04
Jacobi,47,2808,6.272584e-03,3.307519e-05,6.408442e-05
Jacobi,63,4996,2.051271e-02,1.861233e-05,3.615083e-05
Jacobi,95,11247,9.840695e-02,8.274526e-06,1.608248e-05
Jacobi,127,19996,3.130575e-01,4.654884e-06,9.044162e-06
RB GS,15,156,7.830499e-05,2.953815e-04,5.717083e-04
RB GS,23,354,4.021160e-04,1.319268e-04,2.556500e-04
RB GS,31,632,1.316256e-03,7.433227e-05,1.438534e-04
RB GS,47,1425,1.198774e-02,3.307519e-05,6.408442e-05
RB GS,63,2535,2.997947e-02,1.861233e-05,3.615084e-05
RB GS,95,5705,1.075194e-01,8.274529e-06,1.608248e-05
RB GS,127,10142,3.224581e-01,4.654887e-06,9.044168e-06
RB SOR,15,67,6.147800e-05,2.953815e-04,5.717083e-04
RB SOR,23,102,1.232682e-03,1.319268e-04,2.556500e-04
RB SOR,31,138,3.821050e-04,7.433228e-05,1.438535e-04
RB SOR,47,213,1.266397e-03,3.307520e-05,6.408444e-05
RB SOR,63,286,3.056187e-03,1.861234e-05,3.615085e-05
RB SOR,95,439,1.052476e-02,8.274537e-06,1.608250e-05
RB SOR,127,592,3.064543e-02,4.654896e-06,9.044184e-06
MG V-cycle,15,9,1.591980e-04,2.953812e-04,5.717077e-04
MG V-cycle,23,10,2.528010e-04,1.319266e-04,2.556497e-04
MG V-cycle,31,10,3.296670e-04,7.433184e-05,1.438528e-04
MG V-cycle,47,11,5.888020e-04,3.307507e-05,6.408429e-05
MG V-cycle,63,11,8.726920e-04,1.861217e-05,3.615065e-05
MG V-cycle,95,11,1.726711e-03,8.274287e-06,1.608222e-05
MG V-cycle,127,11,3.588220e-03,4.654624e-06,9.043869e-06
MG W-cycle,15,9,3.249840e-04,2.953814e-04,5.717081e-04
MG W-cycle,23,9,6.113790e-04,1.319267e-04,2.556500e-04
MG W-cycle,31,9,7.814330e-04,7.433224e-05,1.438535e-04
MG W-cycle,47,9,1.490610e-03,3.307519e-05,6.408444e-05
MG W-cycle,63,9,1.913857e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,9,4.890731e-03,8.274534e-06,1.608250e-05
MG W-cycle,127,8,5.121860e-03,4.654875e-06,9.044184e-06
