Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1292,3.728390e-04,7.711183e-05,1.399548e-04
Jacobi,23,2915,1.687421e-03,3.434558e-05,6.235898e-05
Jacobi,31,5186,5.097317e-03,1.933381e-05,3.508528e-05
Jacobi,47,11673,2.602053e-02,8.597358e-06,1.560909e-05
Jacobi,63,20752,8.347544e-02,4.836899e-06,8.785548e-06
Jacobi,95,46691,4.167045e-01,2.150001e-06,3.905402e-06
Jacobi,127,83005,1.314593e+00,1.209418e-06,2.196725e-06
RB GS,15,656,4.742900e-04,7.711184e-05,1.399549e-04
RB GS,23,1478,4.799268e-03,3.434558e-05,6.235900e-05
RB GS,31,2629,7.607384e-03,1.933382e-05,3.508530e-05
RB GS,47,5918,4.109940e-02,8.597367e-06,1.560910e-05
RB GS,63,10520,8.771938e-02,4.836908e-06,8.785565e-06
RB GS,95,23668,4.052973e-01,2.150010e-06,3.905420e-06
RB GS,127,42074,1.338130e+00,1.209427e-06,2.196743e-06
RB SOR,15,78,7.119300e-05,7.711186e-05,1.399549e-04
RB SOR,23,119,2.227900e-04,3.434560e-05,6.235904e-05
RB SOR,31,161,5.223580e-04,1.933384e-05,3.508534e-05
RB SOR,47,244,3.021576e-03,8.597388e-06,1.560914e-05
RB SOR,63,328,4.482992e-03,4.836930e-06,8.785606e-06
RB SOR,95,499,1.816277e-02,2.150032e-06,3.905462e-06
RB SOR,127,671,2.949332e-02,1.209449e-06,2.196785e-06
MG V-cycle,15,11,1.954960e-04,7.711116e-05,1.399543e-04
MG V-cycle,23,11,2.929340e-04,3.434142e-05,6.235463e-05
MG V-cycle,31,11,3.974380e-04,1.933192e-05,3.508383e-05
MG V-cycle,47,11,5.740210e-04,8.591216e-06,1.560303e-05
MG V-cycle,63,11,8.813880e-04,4.834027e-06,8.783387e-06
MG V-cycle,95,11,1.930896e-03,2.142776e-06,3.898531e-06
MG V-cycle,127,11,2.878279e-03,1.205971e-06,2.194198e-06
MG W-cycle,15,9,3.225940e-04,7.711148e-05,1.399550e-04
MG W-cycle,23,9,6.197420e-04,3.434547e-05,6.235902e-05
MG W-cycle,31,9,7.938470e-04,1.933377e-05,3.508534e-05
MG W-cycle,47,9,1.519048e-03,8.597364e-06,1.560914e-05
MG W-cycle,63,9,2.998879e-03,4.836917e-06,8.785607e-06
MG W-cycle,95,8,3.525535e-03,2.149963e-06,3.905463e-06
MG W-cycle,127,8,5.760051e-03,1.209412e-06,2.196785e-06
