Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,177,5.122399e-05,1.214909e-02,2.429817e-02
Jacobi,23,407,2.514800e-04,5.359167e-03,1.071833e-02
Jacobi,31,728,6.967780e-04,3.006631e-03,6.013262e-03
Jacobi,47,1647,3.596059e-03,1.333781e-03,2.667561e-03
Jacobi,63,2934,1.142140e-02,7.497604e-04,1.499521e-03
Jacobi,95,6609,5.759088e-02,3.330710e-04,6.661420e-04
Jacobi,127,11755,1.844060e-01,1.873218e-04,3.746435e-04
RB GS,15,90,6.612400e-05,1.214909e-02,2.429817e-02
RB GS,23,207,3.236370e-04,5.359167e-03,1.071833e-02
RB GS,31,370,9.764860e-04,3.006631e-03,6.013262e-03
RB GS,47,837,4.918879e-03,1.333781e-03,2.667561e-03
RB GS,63,1489,1.568658e-02,7.497604e-04,1.499521e-03
RB GS,95,3355,7.399759e-02,3.330710e-04,6.661420e-04
RB GS,127,5966,1.870519e-01,1.873218e-04,3.746435e-04
RB SOR,15,61,5.766000e-05,1.214909e-02,2.429817e-02
RB SOR,23,92,1.723350e-04,5.359167e-03,1.071833e-02
RB SOR,31,123,3.045966e-03,3.006631e-03,6.013262e-03
RB SOR,47,184,1.387822e-03,1.333781e-03,2.667561e-03
RB SOR,63,245,5.450817e-03,7.497604e-04,1.499521e-03
RB SOR,95,368,1.112237e-02,3.330710e-04,6.661421e-04
RB SOR,127,491,2.048246e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,9,1.760260e-04,1.214909e-02,2.429817e-02
MG V-cycle,23,10,2.720010e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,10,3.230100e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,10,5.412840e-04,1.333780e-03,2.667562e-03
MG V-cycle,63,10,7.711360e-04,7.497600e-04,1.499521e-03
MG V-cycle,95,11,1.629173e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,11,2.630136e-03,1.873217e-04,3.746436e-04
MG W-cycle,15,9,3.343650e-04,1.214909e-02,2.429817e-02
MG W-cycle,23,9,6.281370e-04,5.359167e-03,1.071833e-02
MG W-cycle,31,9,7.605050e-04,3.006631e-03,6.013262e-03
MG W-cycle,47,8,1.307178e-03,1.333781e-03,2.667562e-03
MG W-cycle,63,8,1.751460e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,8,3.337400e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,8,4.685271e-03,1.873218e-04,3.746436e-04
