Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1187,4.941430e-04,1.609482e-03,3.218964e-03
Jacobi,23,2680,1.551595e-03,7.145591e-04,1.429118e-03
Jacobi,31,4771,5.178375e-03,4.017888e-04,8.035776e-04
Jacobi,47,10743,2.326617e-02,1.785250e-04,3.570499e-04
Jacobi,63,19105,7.498467e-02,1.004109e-04,2.008217e-04
Jacobi,95,42995,3.750704e-01,4.462403e-05,8.924806e-05
Jacobi,127,76441,1.196116e+00,2.510041e-05,5.020082e-05
RB GS,15,603,4.366140e-04,1.609482e-03,3.218964e-03
RB GS,23,1361,2.050075e-03,7.145591e-04,1.429118e-03
RB GS,31,2422,8.282416e-03,4.017888e-04,8.035776e-04
RB GS,47,5453,4.682894e-02,1.785250e-04,3.570499e-04
RB GS,63,9697,7.632417e-02,1.004109e-04,2.008217e-04
RB GS,95,21821,3.705619e-01,4.462405e-05,8.924809e-05
RB GS,127,38796,1.214528e+00,2.510042e-05,5.020085e-05
RB SOR,15,73,5.503300e-05,1.609482e-03,3.218964e-03
RB SOR,23,111,1.683920e-04,7.145592e-04,1.429118e-03
RB SOR,31,150,4.117800e-04,4.017888e-04,8.035777e-04
RB SOR,47,228,1.669233e-03,1.785250e-04,3.570500e-04
RB SOR,63,307,3.368091e-03,1.004109e-04,2.008218e-04
RB SOR,95,467,1.112368e-02,4.462408e-05,8.924816e-05
RB SOR,127,629,2.756038e-02,2.510046e-05,5.020091e-05
MG V-cycle,15,11,2.221670e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,11,2.763570e-04,7.145585e-04,1.429118e-03
MG V-cycle,31,11,3.751950e-04,4.017886e-04,8.035775e-04
MG V-cycle,47,11,1.976919e-03,1.785242e-04,3.570491e-04
MG V-cycle,63,11,8.891260e-04,1.004106e-04,2.008216e-04
MG V-cycle,95,11,1.664108e-03,4.462317e-05,8.924724e-05
MG V-cycle,127,11,3.052917e-03,2.510010e-05,5.020065e-05
MG W-cycle,15,9,3.187240e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,8,5.639920e-04,7.145591e-04,1.429118e-03
MG W-cycle,31,8,6.708300e-04,4.017888e-04,8.035777e-04
MG W-cycle,47,8,1.363444e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,8,2.091915e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,7,5.807661e-03,4.462407e-05,8.924816e-05
MG W-cycle,127,7,5.609875e-03,2.510045e-05,5.020092e-05
