Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,235,1.199300e-04,3.484343e-04,6.968677e-04
Jacobi,23,531,5.440290e-04,3.474204e-04,6.948486e-04
Jacobi,31,943,1.721584e-03,3.511091e-04,7.022172e-04
Jacobi,47,2123,8.602528e-03,3.515862e-04,7.031634e-04
Jacobi,63,3773,2.681129e-02,3.526179e-04,7.052422e-04
Jacobi,95,8488,1.376268e-01,3.531698e-04,7.063933e-04
Jacobi,127,15086,4.369636e-01,3.532161e-04,7.064641e-04
RB GS,15,127,2.531570e-04,2.433781e-04,4.820153e-04
RB GS,23,286,6.162560e-04,2.453221e-04,4.885366e-04
RB GS,31,508,2.718238e-03,2.474358e-04,4.936755e-04
RB GS,47,1143,9.900344e-03,2.481759e-04,4.958134e-04
RB GS,63,2031,3.124042e-02,2.490495e-04,4.977956e-04
RB GS,95,4568,1.302708e-01,2.496681e-04,4.992605e-04
RB GS,127,8117,3.976117e-01,2.498322e-04,4.996359e-04
RB SOR,15,24,2.650201e-05,2.675429e-05,5.664304e-05
RB SOR,23,37,8.012501e-05,2.163651e-05,4.505201e-05
RB SOR,31,51,7.618360e-04,1.621832e-05,3.346428e-05
RB SOR,47,79,7.794340e-04,1.209729e-05,2.476904e-05
RB SOR,63,109,1.699683e-03,8.745391e-06,1.792610e-05
RB SOR,95,170,6.126426e-03,5.880761e-06,1.210430e-05
RB SOR,127,232,1.900121e-02,4.215578e-06,8.597970e-06
MG V-cycle,15,1,4.164899e-05,4.285220e-03,5.503327e-03
MG V-cycle,23,1,3.324699e-05,4.960004e-03,6.992802e-03
MG V-cycle,31,1,4.330800e-05,4.341173e-03,5.408026e-03
MG V-cycle,47,1,6.910501e-05,4.953123e-03,7.031497e-03
MG V-cycle,63,1,1.060140e-04,4.334810e-03,5.439751e-03
MG V-cycle,95,1,2.002280e-04,4.945129e-03,7.041373e-03
MG V-cycle,127,1,3.311370e-04,4.330010e-03,5.448177e-03
MG W-cycle,15,1,4.447300e-05,1.885688e-03,3.273793e-03
MG W-cycle,23,1,7.795999e-05,1.064075e-03,2.297812e-03
MG W-cycle,31,1,1.023670e-04,6.878682e-04,1.759775e-03
MG W-cycle,47,1,1.877070e-04,3.700422e-04,1.197801e-03
MG W-cycle,63,1,2.612460e-04,2.389901e-04,9.073135e-04
MG W-cycle,95,1,5.387530e-04,1.296661e-04,6.111806e-04
MG W-cycle,127,1,7.675680e-04,8.418251e-05,4.608084e-04
