Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,73,3.778300e-05,8.084696e-04,1.655132e-03
Jacobi,23,166,1.739500e-04,1.003936e-03,2.028078e-03
Jacobi,31,295,5.403650e-04,1.099910e-03,2.211094e-03
Jacobi,47,664,2.656233e-03,1.164700e-03,2.334595e-03
Jacobi,63,1180,8.324414e-03,1.191217e-03,2.385467e-03
Jacobi,95,2652,4.280370e-02,1.215946e-03,2.433330e-03
Jacobi,127,4712,1.353749e-01,1.225765e-03,2.452224e-03
RB GS,15,39,4.666501e-05,4.852669e-04,1.025469e-03
RB GS,23,88,1.819050e-04,6.870331e-04,1.386597e-03
RB GS,31,157,5.873170e-04,7.466633e-04,1.497221e-03
RB GS,47,353,2.994922e-03,8.057689e-04,1.611867e-03
RB GS,63,626,9.711917e-03,8.383239e-04,1.676504e-03
RB GS,95,1407,5.636467e-02,8.578303e-04,1.715486e-03
RB GS,127,2500,1.225140e-01,8.654739e-04,1.730756e-03
RB SOR,15,19,2.218300e-05,2.084863e-04,4.259622e-04
RB SOR,23,32,6.855000e-05,1.244378e-04,3.377505e-04
RB SOR,31,44,1.644260e-04,1.007833e-04,2.905726e-04
RB SOR,47,71,5.893180e-04,7.621299e-05,1.497717e-04
RB SOR,63,99,1.486590e-03,4.241600e-05,9.746062e-05
RB SOR,95,157,5.254195e-03,1.060180e-05,5.115469e-05
RB SOR,127,217,1.311455e-02,6.338123e-06,2.688971e-05
MG V-cycle,15,2,4.176299e-05,3.845674e-03,8.831450e-03
MG V-cycle,23,2,5.855699e-05,6.448426e-03,1.514485e-02
MG V-cycle,31,1,4.179901e-05,6.024417e-02,1.491555e-01
MG V-cycle,47,1,6.847801e-05,6.650630e-02,1.654221e-01
MG V-cycle,63,1,1.028640e-04,6.866272e-02,1.751208e-01
MG V-cycle,95,1,1.961910e-04,7.183887e-02,1.859609e-01
MG V-cycle,127,1,3.492060e-04,7.257676e-02,1.913880e-01
MG W-cycle,15,2,8.236400e-05,3.027099e-03,7.346281e-03
MG W-cycle,23,1,7.778801e-05,3.858877e-02,1.112005e-01
MG W-cycle,31,1,1.010900e-04,3.586763e-02,1.185351e-01
MG W-cycle,47,1,2.042890e-04,3.069642e-02,1.238400e-01
MG W-cycle,63,1,2.585890e-04,2.700197e-02,1.256937e-01
MG W-cycle,95,1,4.969430e-04,2.229695e-02,1.270088e-01
MG W-cycle,127,1,7.317110e-04,1.939399e-02,1.274657e-01
