Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,343,1.636080e-04,2.878001e-03,5.771720e-03
Jacobi,23,771,8.121660e-04,3.024765e-03,6.056868e-03
Jacobi,31,1370,2.567238e-03,3.077537e-03,6.160580e-03
Jacobi,47,3078,1.224876e-02,3.137801e-03,6.275736e-03
Jacobi,63,5471,3.859284e-02,3.157327e-03,6.318175e-03
Jacobi,95,12307,1.991369e-01,3.156452e-03,6.319605e-03
Jacobi,127,21919,6.301711e-01,3.111256e-03,6.228530e-03
RB GS,15,181,1.863030e-04,1.987595e-03,3.957624e-03
RB GS,23,406,1.075830e-03,2.126471e-03,4.243872e-03
RB GS,31,721,2.661391e-03,2.173697e-03,4.342368e-03
RB GS,47,1620,1.366051e-02,2.216558e-03,4.429567e-03
RB GS,63,2879,4.937290e-02,2.234656e-03,4.470516e-03
RB GS,95,6471,1.832114e-01,2.243126e-03,4.492573e-03
RB GS,127,11507,5.640230e-01,2.232030e-03,4.465514e-03
RB SOR,15,29,3.176501e-05,2.297969e-04,5.820938e-04
RB SOR,23,46,1.283900e-04,1.401679e-04,2.940634e-04
RB SOR,31,62,2.299560e-04,1.351612e-04,2.940206e-04
RB SOR,47,97,8.262270e-04,8.559694e-05,1.699228e-04
RB SOR,63,132,3.337568e-03,7.207387e-05,1.501326e-04
RB SOR,95,206,7.190374e-03,3.311720e-05,7.628831e-05
RB SOR,127,100000,4.945370e+00,2.277857e-05,5.375204e-05
MG V-cycle,15,2,7.563700e-05,5.261717e-02,1.027015e-01
MG V-cycle,23,1,5.180499e-05,4.682063e-01,9.856826e-01
MG V-cycle,31,1,6.412099e-05,4.540272e-01,1.056566e+00
MG V-cycle,47,1,9.753100e-05,5.055340e-01,1.159391e+00
MG V-cycle,63,1,1.411950e-04,4.838174e-01,1.215530e+00
MG V-cycle,95,1,2.585240e-04,5.238010e-01,1.290465e+00
MG V-cycle,127,1,5.412670e-04,4.982310e-01,1.330125e+00
MG W-cycle,15,1,7.216100e-05,2.412940e-01,6.837895e-01
MG W-cycle,23,1,2.271944e-03,2.093198e-01,7.600376e-01
MG W-cycle,31,1,1.618890e-04,1.866362e-01,8.022116e-01
MG W-cycle,47,1,3.136740e-04,1.568573e-01,8.472820e-01
MG W-cycle,63,1,3.007873e-03,1.377809e-01,8.708973e-01
MG W-cycle,95,1,4.895930e-04,1.140681e-01,8.952443e-01
MG W-cycle,127,1,7.252380e-04,9.945730e-02,9.076935e-01
