Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,36,2.350401e-05,7.478118e-03,1.495636e-02
Jacobi,23,82,8.511500e-05,5.135923e-04,1.027107e-03
Jacobi,31,146,2.762150e-04,1.957758e-03,3.915250e-03
Jacobi,47,330,1.353906e-03,3.634973e-03,7.269979e-03
Jacobi,63,587,4.211645e-03,4.243630e-03,8.487582e-03
Jacobi,95,1322,2.159831e-02,4.665398e-03,9.330750e-03
Jacobi,127,2351,6.811702e-02,4.812717e-03,9.625614e-03
RB GS,15,20,2.541000e-05,9.186288e-03,1.875484e-02
RB GS,23,44,1.044010e-04,1.812589e-03,3.820658e-03
RB GS,31,79,3.786350e-04,4.476319e-04,9.931993e-04
RB GS,47,178,1.655399e-03,2.145070e-03,4.301404e-03
RB GS,63,316,5.278521e-03,2.771478e-03,5.563683e-03
RB GS,95,711,3.401048e-02,3.201030e-03,6.400567e-03
RB GS,127,1265,6.815195e-02,3.337265e-03,6.679417e-03
RB SOR,15,14,1.730901e-05,9.936307e-03,2.029610e-02
RB SOR,23,20,4.490599e-05,3.100289e-03,6.227241e-03
RB SOR,31,27,1.257770e-04,6.668064e-04,1.405351e-03
RB SOR,47,41,3.556480e-04,1.023691e-03,2.041196e-03
RB SOR,63,55,8.552280e-04,1.593534e-03,3.213889e-03
RB SOR,95,82,3.177261e-03,2.021649e-03,4.039269e-03
RB SOR,127,109,6.559614e-03,2.167111e-03,4.336953e-03
MG V-cycle,15,1,2.479700e-05,2.879222e-02,7.308916e-02
MG V-cycle,23,1,3.242400e-05,4.125817e-02,9.571240e-02
MG V-cycle,31,1,4.135600e-05,4.557614e-02,1.003563e-01
MG V-cycle,47,1,6.855500e-05,4.754908e-02,9.409185e-02
MG V-cycle,63,1,1.030360e-04,4.859738e-02,9.637596e-02
MG V-cycle,95,1,1.959800e-04,4.864299e-02,9.490033e-02
MG V-cycle,127,1,3.341200e-04,4.912272e-02,9.670875e-02
MG W-cycle,15,1,4.386601e-05,2.806620e-02,7.158259e-02
MG W-cycle,23,1,7.786699e-05,2.761032e-02,7.222698e-02
MG W-cycle,31,1,1.021700e-04,2.130567e-02,6.276905e-02
MG W-cycle,47,1,1.879300e-04,1.257046e-02,4.539630e-02
MG W-cycle,63,1,2.689870e-04,8.151837e-03,3.478676e-02
MG W-cycle,95,1,4.876210e-04,4.318400e-03,2.346784e-02
MG W-cycle,127,1,7.341480e-04,2.753270e-03,1.764599e-02
