Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,238,1.222910e-04,3.344975e-03,6.689847e-03
Jacobi,23,536,5.613820e-04,4.292038e-03,8.583903e-03
Jacobi,31,955,1.737882e-03,4.579704e-03,9.159505e-03
Jacobi,47,2149,8.611745e-03,4.818564e-03,9.637356e-03
Jacobi,63,3821,2.712078e-02,4.899856e-03,9.799361e-03
Jacobi,95,8599,1.409208e-01,4.954401e-03,9.908140e-03
Jacobi,127,15295,4.419800e-01,4.964848e-03,9.930015e-03
RB GS,15,128,1.301290e-04,1.919179e-03,3.831118e-03
RB GS,23,289,6.062390e-04,2.790532e-03,5.562996e-03
RB GS,31,514,1.909236e-03,3.108772e-03,6.204553e-03
RB GS,47,1156,9.740809e-03,3.348859e-03,6.691199e-03
RB GS,63,2055,3.310120e-02,3.431294e-03,6.858236e-03
RB GS,95,4624,1.308905e-01,3.487341e-03,6.972210e-03
RB GS,127,8220,4.009330e-01,3.509752e-03,7.018865e-03
RB SOR,15,24,2.684499e-05,1.207953e-03,2.486467e-03
RB SOR,23,37,9.524000e-05,3.900586e-04,8.178949e-04
RB SOR,31,51,1.897670e-04,1.586096e-04,3.380775e-04
RB SOR,47,80,6.622260e-04,1.775151e-05,4.353575e-05
RB SOR,63,109,1.646475e-03,3.121525e-05,6.795577e-05
RB SOR,95,171,5.885470e-03,3.807691e-05,7.869413e-05
RB SOR,127,234,1.758299e-02,3.815801e-05,7.857513e-05
MG V-cycle,15,1,7.355900e-05,6.158234e-02,7.845632e-02
MG V-cycle,23,1,4.120500e-05,7.236476e-02,1.063490e-01
MG V-cycle,31,1,4.500999e-05,6.319011e-02,8.222675e-02
MG V-cycle,47,1,7.035599e-05,7.266437e-02,1.080644e-01
MG V-cycle,63,1,3.681660e-04,6.334172e-02,8.351740e-02
MG V-cycle,95,1,1.989800e-04,7.266737e-02,1.084988e-01
MG V-cycle,127,1,3.354670e-04,6.334407e-02,8.385171e-02
MG W-cycle,15,1,4.474900e-05,2.545056e-02,4.511232e-02
MG W-cycle,23,1,7.955599e-05,1.400482e-02,3.105999e-02
MG W-cycle,31,1,1.012550e-04,8.883164e-03,2.345107e-02
MG W-cycle,47,1,1.884100e-04,4.681989e-03,1.569412e-02
MG W-cycle,63,1,2.560670e-04,2.993914e-03,1.177579e-02
MG W-cycle,95,1,5.108560e-04,1.608997e-03,7.852669e-03
MG W-cycle,127,1,7.420370e-04,1.039673e-03,5.889373e-03
