Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,3.998700e-05,2.959508e-13,6.311271e-13
RB SOR,31,150,3.069740e-04,1.570729e-13,3.274811e-13
RB SOR,63,307,2.394340e-03,8.340518e-14,1.709397e-13
RB SOR,127,628,2.036867e-02,4.321263e-14,8.750639e-14
RB SOR,255,1284,1.966171e-01,2.226765e-14,4.481832e-14
RB SOR,511,2637,1.385351e+00,9.832142e-15,1.972728e-14
"MG(v, nu=3, w=1.25)",15,7,8.550130e-04,5.834793e-13,8.636286e-13
"MG(v, nu=3, w=1.25)",31,8,3.399580e-04,4.513539e-14,6.336251e-14
"MG(v, nu=3, w=1.25)",63,8,7.917110e-04,6.159085e-14,8.669801e-14
"MG(v, nu=3, w=1.25)",127,9,2.867867e-03,2.629817e-15,3.621235e-15
"MG(v, nu=3, w=1.25)",255,9,1.442905e-02,2.631525e-15,4.035834e-15
"MG(v, nu=3, w=1.25)",511,9,4.289113e-02,1.844305e-15,4.422027e-15
"MG(v, nu=3, w=auto)",15,14,2.811490e-04,1.141376e-13,2.529851e-13
"MG(v, nu=3, w=auto)",31,26,9.424550e-04,1.183245e-13,2.493908e-13
"MG(v, nu=3, w=auto)",63,48,4.807844e-03,7.199530e-14,1.686706e-13
"MG(v, nu=3, w=auto)",127,97,4.365983e-02,2.733285e-14,8.686107e-14
"MG(v, nu=3, w=auto)",255,199,1.846449e-01,8.675606e-15,3.354261e-14
"MG(v, nu=3, w=auto)",511,200,7.582512e-01,7.412199e-09,2.431521e-08
"MG(w, nu=3, w=1.25)",15,7,2.752300e-04,2.385614e-14,4.029416e-14
"MG(w, nu=3, w=1.25)",31,7,6.561920e-04,2.150229e-15,6.487866e-15
"MG(w, nu=3, w=1.25)",63,7,1.761151e-03,3.874672e-16,1.990595e-15
"MG(w, nu=3, w=1.25)",127,7,9.749378e-03,3.304786e-16,9.575674e-16
"MG(w, nu=3, w=1.25)",255,7,1.826932e-02,1.342380e-15,4.427014e-15
"MG(w, nu=3, w=1.25)",511,7,5.761647e-02,7.323534e-16,2.886580e-15
"MG(w, nu=3, w=auto)",15,12,4.766030e-04,1.850881e-13,4.230644e-13
"MG(w, nu=3, w=auto)",31,22,2.289501e-03,3.356324e-14,1.065259e-13
"MG(w, nu=3, w=auto)",63,44,1.551062e-02,3.143860e-15,1.284389e-14
"MG(w, nu=3, w=auto)",127,87,6.372871e-02,1.082877e-15,5.717649e-15
"MG(w, nu=3, w=auto)",255,175,2.964393e-01,3.142156e-16,1.693090e-15
"MG(w, nu=3, w=auto)",511,200,1.164174e+00,6.732225e-12,3.476369e-11
