Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,67,3.678899e-05,2.953815e-04,5.717083e-04
RB SOR,31,138,2.708160e-04,7.433228e-05,1.438535e-04
RB SOR,63,286,2.252794e-03,1.861234e-05,3.615085e-05
RB SOR,127,592,1.963553e-02,4.654896e-06,9.044184e-06
RB SOR,255,1227,1.835665e-01,1.163837e-06,2.262062e-06
RB SOR,511,2546,1.297550e+00,2.909663e-07,5.655295e-07
"MG(v, nu=3, w=1.25)",15,6,1.104330e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,7,2.469140e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,8,7.383160e-04,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,8,2.430563e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,9,1.704099e-02,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,9,4.927756e-02,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,11,2.256420e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,24,9.277790e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,51,6.917697e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,103,3.477333e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,200,1.774573e-01,1.163837e-06,2.262061e-06
"MG(v, nu=3, w=auto)",511,200,6.680098e-01,2.943258e-07,1.155036e-06
"MG(w, nu=3, w=1.25)",15,6,2.836560e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,6.136740e-04,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,7,1.690314e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,7,5.339650e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,7,1.690460e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,6.074562e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,11,3.916920e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,23,2.055171e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,47,1.596451e-02,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,96,6.683123e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,198,3.169243e-01,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=auto)",511,200,1.107683e+00,2.910944e-07,5.892342e-07
