Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,78,4.243800e-05,7.711186e-05,1.399549e-04
RB SOR,31,161,3.294090e-04,1.933384e-05,3.508534e-05
RB SOR,63,328,2.559273e-03,4.836930e-06,8.785606e-06
RB SOR,127,671,2.186102e-02,1.209449e-06,2.196785e-06
RB SOR,255,1416,2.071044e-01,3.023758e-07,5.492651e-07
RB SOR,511,100000,5.108574e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,8,1.487020e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,3.468690e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,9,8.131730e-04,4.836930e-06,8.785607e-06
"MG(v, nu=3, w=1.25)",127,10,3.004559e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,10,1.150394e-02,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,10,5.387517e-02,7.559489e-08,1.373180e-07
"MG(v, nu=3, w=auto)",15,15,3.444840e-04,7.711187e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,28,2.874798e-03,1.933384e-05,3.508533e-05
"MG(v, nu=3, w=auto)",63,56,5.324345e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,114,4.317425e-02,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=auto)",255,200,1.902436e-01,3.023756e-07,5.492638e-07
"MG(v, nu=3, w=auto)",511,200,6.868988e-01,4.106969e-06,2.120521e-05
"MG(w, nu=3, w=1.25)",15,7,2.538070e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,7,6.555860e-04,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,1.883559e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,1.115774e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,8,1.971248e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,8,6.182706e-02,7.559482e-08,1.373178e-07
"MG(w, nu=3, w=auto)",15,13,4.708250e-04,7.711187e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,25,3.513427e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,50,1.361956e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,103,6.881829e-02,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,200,3.380408e-01,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=auto)",511,200,1.134946e+00,8.665968e-08,3.070091e-07
