Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,61,3.372799e-05,1.214909e-02,2.429817e-02
RB SOR,31,123,2.636820e-04,3.006631e-03,6.013262e-03
RB SOR,63,245,2.183559e-03,7.497604e-04,1.499521e-03
RB SOR,127,491,1.665450e-02,1.873218e-04,3.746436e-04
RB SOR,255,982,1.512780e-01,4.682304e-05,9.364609e-05
RB SOR,511,1965,1.017146e+00,1.170529e-05,2.341057e-05
"MG(v, nu=3, w=1.25)",15,6,1.143080e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,7,2.565590e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,7,6.430630e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,8,3.563177e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,8,1.092009e-02,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,9,4.286226e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,11,2.060430e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,22,8.121290e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,48,4.457378e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,98,3.195374e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,194,1.796371e-01,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=auto)",511,200,7.521938e-01,1.156781e-05,2.327146e-05
"MG(w, nu=3, w=1.25)",15,6,2.380640e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,6,5.387490e-04,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,6,2.046881e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,6,5.149747e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,6,1.445732e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.653320e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,11,3.954460e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,22,2.663742e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,41,1.073266e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,85,6.334199e-02,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,167,2.897621e-01,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=auto)",511,200,1.175810e+00,1.170525e-05,2.341024e-05
