Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,73,7.490600e-05,1.609482e-03,3.218964e-03
RB SOR,31,150,2.903210e-04,4.017888e-04,8.035777e-04
RB SOR,63,307,2.382352e-03,1.004109e-04,2.008218e-04
RB SOR,127,629,2.031588e-02,2.510046e-05,5.020091e-05
RB SOR,255,1287,1.907420e-01,6.274972e-06,1.254994e-05
RB SOR,511,2643,1.377462e+00,1.568734e-06,3.137468e-06
"MG(v, nu=3, w=1.25)",15,8,1.145680e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,8,1.893400e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,8,5.137970e-04,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,1.976432e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,9,1.109641e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,9,4.302691e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,14,2.619170e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,26,9.552660e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,48,4.580797e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,96,3.532683e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,197,1.814386e-01,6.274973e-06,1.254994e-05
"MG(v, nu=3, w=auto)",511,200,6.864604e-01,1.552447e-06,3.335176e-06
"MG(w, nu=3, w=1.25)",15,7,5.626900e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,8.034050e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,2.267647e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,8.122816e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,1.676320e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,5.652475e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,12,2.503830e-03,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,22,3.550557e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,44,1.389529e-02,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,87,6.450353e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,175,2.930485e-01,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=auto)",511,200,1.171988e+00,1.568737e-06,3.137644e-06
