Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,24,2.169599e-05,2.675429e-05,5.664304e-05
RB SOR,31,51,1.554990e-04,1.621832e-05,3.346428e-05
RB SOR,63,109,1.349736e-03,8.745391e-06,1.792610e-05
RB SOR,127,232,1.156414e-02,4.215578e-06,8.597970e-06
RB SOR,255,543,1.315616e-01,7.948622e-07,1.430511e-06
RB SOR,511,100000,8.006865e+01,1.036215e-06,1.956767e-06
"MG(v, nu=3, w=1.25)",15,2,6.878399e-05,2.839554e-05,4.200637e-05
"MG(v, nu=3, w=1.25)",31,3,1.713090e-04,1.126569e-06,1.596287e-06
"MG(v, nu=3, w=1.25)",63,3,8.667237e-03,1.216045e-06,1.756474e-06
"MG(v, nu=3, w=1.25)",127,3,1.353443e-03,1.232867e-06,1.785345e-06
"MG(v, nu=3, w=1.25)",255,3,6.236589e-03,1.234503e-06,1.690583e-06
"MG(v, nu=3, w=1.25)",511,4,3.281237e-02,4.426871e-08,6.461050e-08
"MG(v, nu=3, w=auto)",15,4,1.388980e-04,1.840721e-05,4.124269e-05
"MG(v, nu=3, w=auto)",31,8,5.161170e-04,1.002531e-05,2.149120e-05
"MG(v, nu=3, w=auto)",63,15,2.790106e-03,7.334894e-06,1.474470e-05
"MG(v, nu=3, w=auto)",127,29,1.811707e-02,3.603216e-06,9.734184e-06
"MG(v, nu=3, w=auto)",255,63,9.586898e-02,7.979078e-07,2.644723e-06
"MG(v, nu=3, w=auto)",511,200,8.060356e-01,9.229709e-08,4.149188e-07
"MG(w, nu=3, w=1.25)",15,2,1.381870e-04,1.107885e-05,1.851097e-05
"MG(w, nu=3, w=1.25)",31,2,3.152420e-04,3.585222e-06,7.481314e-06
"MG(w, nu=3, w=1.25)",63,2,8.253100e-04,1.184954e-06,3.890134e-06
"MG(w, nu=3, w=1.25)",127,2,7.734128e-03,4.216969e-07,2.026558e-06
"MG(w, nu=3, w=1.25)",255,3,1.170510e-02,2.424956e-09,1.490116e-08
"MG(w, nu=3, w=1.25)",511,3,4.701843e-02,1.892364e-09,1.712760e-08
"MG(w, nu=3, w=auto)",15,4,1.723650e-04,6.083406e-06,1.391023e-05
"MG(w, nu=3, w=auto)",31,6,6.132270e-04,2.570148e-06,9.678304e-06
"MG(w, nu=3, w=auto)",63,13,3.735545e-03,2.791334e-07,8.903444e-07
"MG(w, nu=3, w=auto)",127,25,2.164873e-02,1.155692e-07,6.370246e-07
"MG(w, nu=3, w=auto)",255,55,1.379539e-01,6.053712e-08,2.274755e-07
"MG(w, nu=3, w=auto)",511,200,1.304958e+00,2.092717e-07,6.072223e-07
