Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,19,1.829000e-05,2.084863e-04,4.259622e-04
RB SOR,31,44,1.348500e-04,1.007833e-04,2.905726e-04
RB SOR,63,99,1.252641e-03,4.241600e-05,9.746062e-05
RB SOR,127,217,1.104970e-02,6.338123e-06,2.688971e-05
RB SOR,255,502,1.304019e-01,3.032937e-06,8.858285e-06
RB SOR,511,100000,7.994238e+01,1.169952e-06,6.298321e-06
"MG(v, nu=3, w=1.25)",15,2,7.118200e-05,2.681237e-04,5.274831e-04
"MG(v, nu=3, w=1.25)",31,3,1.701250e-04,7.144183e-05,1.402317e-04
"MG(v, nu=3, w=1.25)",63,3,4.134380e-04,1.379765e-05,2.978826e-05
"MG(v, nu=3, w=1.25)",127,3,1.319744e-03,7.947238e-06,3.269941e-05
"MG(v, nu=3, w=1.25)",255,4,1.320780e-02,1.000826e-06,2.177696e-06
"MG(v, nu=3, w=1.25)",511,4,2.353252e-02,3.338408e-07,1.893520e-06
"MG(v, nu=3, w=auto)",15,4,8.647701e-05,2.942265e-04,5.651532e-04
"MG(v, nu=3, w=auto)",31,8,3.267480e-04,2.013002e-05,7.848525e-05
"MG(v, nu=3, w=auto)",63,17,2.323638e-03,6.933257e-05,1.679434e-04
"MG(v, nu=3, w=auto)",127,37,1.915169e-02,2.082223e-05,5.387519e-05
"MG(v, nu=3, w=auto)",255,80,1.139981e-01,4.327580e-06,1.385009e-05
"MG(v, nu=3, w=auto)",511,200,7.883665e-01,1.535473e-06,7.140928e-06
"MG(w, nu=3, w=1.25)",15,2,1.414680e-04,2.681445e-04,5.274831e-04
"MG(w, nu=3, w=1.25)",31,2,3.146820e-04,6.872028e-05,2.544661e-04
"MG(w, nu=3, w=1.25)",63,3,1.328993e-03,1.818723e-05,3.597940e-05
"MG(w, nu=3, w=1.25)",127,3,3.301732e-03,4.601343e-06,9.161102e-06
"MG(w, nu=3, w=1.25)",255,3,1.248357e-02,1.225666e-06,6.932157e-06
"MG(w, nu=3, w=1.25)",511,3,4.736765e-02,4.116785e-07,6.884722e-06
"MG(w, nu=3, w=auto)",15,4,4.460380e-04,2.955468e-04,5.659877e-04
"MG(w, nu=3, w=auto)",31,7,1.143726e-03,1.532248e-04,3.630660e-04
"MG(w, nu=3, w=auto)",63,16,6.672506e-03,2.084678e-05,7.782176e-05
"MG(w, nu=3, w=auto)",127,34,6.230142e-02,5.643886e-06,2.321376e-05
"MG(w, nu=3, w=auto)",255,77,1.775261e-01,1.449209e-06,5.501930e-06
"MG(w, nu=3, w=auto)",511,200,1.309797e+00,1.006480e-06,6.264985e-06
