Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,29,2.583599e-05,2.297969e-04,5.820938e-04
RB SOR,31,62,1.939600e-04,1.351612e-04,2.940206e-04
RB SOR,63,132,1.644748e-03,7.207387e-05,1.501326e-04
RB SOR,127,100000,5.058987e+00,2.277857e-05,5.375204e-05
RB SOR,255,100000,2.002641e+01,4.228604e-05,1.203310e-04
RB SOR,511,100000,8.027662e+01,8.379949e-05,1.981027e-04
"MG(v, nu=3, w=1.25)",15,3,1.038410e-04,2.414608e-05,6.977073e-05
"MG(v, nu=3, w=1.25)",31,3,2.042000e-04,8.573175e-05,1.449215e-04
"MG(v, nu=3, w=1.25)",63,4,5.813580e-04,2.474781e-06,5.671376e-06
"MG(v, nu=3, w=1.25)",127,4,1.785216e-03,3.713001e-06,9.946949e-06
"MG(v, nu=3, w=1.25)",255,4,6.584968e-03,4.683436e-06,1.296388e-05
"MG(v, nu=3, w=1.25)",511,200,8.064402e-01,3.586471e-07,2.281312e-06
"MG(v, nu=3, w=auto)",15,5,2.092630e-04,2.709997e-04,5.843996e-04
"MG(v, nu=3, w=auto)",31,10,5.608240e-04,8.984950e-05,2.579872e-04
"MG(v, nu=3, w=auto)",63,21,3.026333e-03,4.055262e-05,1.272159e-04
"MG(v, nu=3, w=auto)",127,200,9.656917e-02,2.774909e-06,1.348971e-05
"MG(v, nu=3, w=auto)",255,200,2.232517e-01,2.963921e-06,1.779939e-05
"MG(v, nu=3, w=auto)",511,200,7.919794e-01,9.675372e-06,5.119334e-05
"MG(w, nu=3, w=1.25)",15,3,1.992760e-04,6.200941e-05,1.294970e-04
"MG(w, nu=3, w=1.25)",31,3,4.687220e-04,1.719568e-05,3.396617e-05
"MG(w, nu=3, w=1.25)",63,3,8.393380e-03,6.424425e-06,4.344891e-05
"MG(w, nu=3, w=1.25)",127,3,3.300540e-03,3.484807e-06,4.820578e-05
"MG(w, nu=3, w=1.25)",255,4,1.817082e-02,3.511633e-07,1.804475e-06
"MG(w, nu=3, w=1.25)",511,200,1.287020e+00,3.601363e-07,2.615758e-06
"MG(w, nu=3, w=auto)",15,5,3.469760e-04,1.273326e-04,2.754092e-04
"MG(w, nu=3, w=auto)",31,9,1.566212e-03,6.149244e-05,1.808926e-04
"MG(w, nu=3, w=auto)",63,19,1.201073e-02,1.359551e-05,5.223074e-05
"MG(w, nu=3, w=auto)",127,200,1.445359e-01,7.204614e-06,2.027252e-05
"MG(w, nu=3, w=auto)",255,200,3.923022e-01,1.149611e-05,4.027715e-05
"MG(w, nu=3, w=auto)",511,200,1.304726e+00,1.216499e-05,5.725972e-05
