Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,14,1.335400e-05,9.936307e-03,2.029610e-02
RB SOR,31,27,1.693000e-04,6.668064e-04,1.405351e-03
RB SOR,63,55,9.377640e-04,1.593534e-03,3.213889e-03
RB SOR,127,109,5.570742e-03,2.167111e-03,4.336953e-03
RB SOR,255,218,7.658445e-02,2.307367e-03,4.615486e-03
RB SOR,511,437,3.886222e-01,2.341648e-03,4.684935e-03
"MG(v, nu=3, w=1.25)",15,2,6.921700e-05,1.214269e-02,2.432179e-02
"MG(v, nu=3, w=1.25)",31,2,8.659200e-05,2.947058e-03,6.018639e-03
"MG(v, nu=3, w=1.25)",63,2,2.441260e-04,6.731788e-04,1.502156e-03
"MG(v, nu=3, w=1.25)",127,3,1.317188e-03,1.852182e-04,3.755093e-04
"MG(v, nu=3, w=1.25)",255,3,9.717333e-03,4.486062e-05,9.441376e-05
"MG(v, nu=3, w=1.25)",511,3,1.884463e-02,1.055895e-05,2.425204e-05
"MG(v, nu=3, w=auto)",15,3,6.736100e-05,1.228046e-02,2.436650e-02
"MG(v, nu=3, w=auto)",31,6,2.487050e-04,2.362372e-03,4.799431e-03
"MG(v, nu=3, w=auto)",63,14,1.623897e-03,4.101904e-04,9.348924e-04
"MG(v, nu=3, w=auto)",127,28,1.083935e-02,1.074558e-04,2.542684e-04
"MG(v, nu=3, w=auto)",255,61,9.907950e-02,1.437888e-04,3.398616e-04
"MG(v, nu=3, w=auto)",511,128,5.171879e-01,2.162118e-05,9.137010e-05
"MG(w, nu=3, w=1.25)",15,2,4.396010e-04,1.214275e-02,2.432442e-02
"MG(w, nu=3, w=1.25)",31,2,2.090780e-04,2.952025e-03,5.981565e-03
"MG(w, nu=3, w=1.25)",63,2,5.423670e-04,7.348419e-04,1.500010e-03
"MG(w, nu=3, w=1.25)",127,2,1.610747e-03,1.853932e-04,3.745556e-04
"MG(w, nu=3, w=1.25)",255,2,9.763066e-03,4.671651e-05,9.363793e-05
"MG(w, nu=3, w=1.25)",511,2,2.881271e-02,1.176177e-05,2.350172e-05
"MG(w, nu=3, w=auto)",15,3,1.325350e-04,1.227339e-02,2.435386e-02
"MG(w, nu=3, w=auto)",31,6,8.157520e-04,2.299182e-03,4.700010e-03
"MG(w, nu=3, w=auto)",63,10,5.784716e-03,7.543557e-04,1.602345e-03
"MG(w, nu=3, w=auto)",127,22,3.093699e-02,1.872497e-04,4.024976e-04
"MG(w, nu=3, w=auto)",255,44,1.190896e-01,4.676158e-05,1.002465e-04
"MG(w, nu=3, w=auto)",511,102,6.714649e-01,1.120708e-05,2.600303e-05
