Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,24,5.475400e-05,1.207953e-03,2.486467e-03
RB SOR,31,51,1.536290e-04,1.586096e-04,3.380775e-04
RB SOR,63,109,1.331920e-03,3.121525e-05,6.795577e-05
RB SOR,127,234,1.202969e-02,3.815801e-05,7.857513e-05
RB SOR,255,546,1.393745e-01,3.418343e-05,7.032976e-05
RB SOR,511,100000,8.037626e+01,6.742995e-06,2.031684e-05
"MG(v, nu=3, w=1.25)",15,2,4.528501e-05,1.227671e-03,2.721786e-03
"MG(v, nu=3, w=1.25)",31,3,8.592500e-05,3.875621e-04,7.869005e-04
"MG(v, nu=3, w=1.25)",63,3,2.328990e-04,8.624293e-05,1.842976e-04
"MG(v, nu=3, w=1.25)",127,3,8.318850e-04,1.473894e-05,3.385544e-05
"MG(v, nu=3, w=1.25)",255,3,5.069409e-03,1.341484e-05,2.393031e-05
"MG(v, nu=3, w=1.25)",511,4,4.724029e-02,1.092970e-06,2.678490e-06
"MG(v, nu=3, w=auto)",15,4,9.052800e-05,1.337892e-03,2.664447e-03
"MG(v, nu=3, w=auto)",31,8,3.436470e-04,2.545476e-04,5.677271e-04
"MG(v, nu=3, w=auto)",63,15,1.703013e-03,2.097571e-04,4.224316e-04
"MG(v, nu=3, w=auto)",127,29,1.481450e-02,7.662530e-05,1.960765e-04
"MG(v, nu=3, w=auto)",255,61,8.897147e-02,1.813465e-05,6.111595e-05
"MG(v, nu=3, w=auto)",511,200,7.955618e-01,2.213719e-06,8.821487e-06
"MG(w, nu=3, w=1.25)",15,2,1.406590e-04,1.473946e-03,3.086925e-03
"MG(w, nu=3, w=1.25)",31,2,3.317200e-04,3.817220e-04,8.059740e-04
"MG(w, nu=3, w=1.25)",63,2,8.670110e-04,9.859673e-05,2.006292e-04
"MG(w, nu=3, w=1.25)",127,2,2.282127e-03,2.524482e-05,5.018711e-05
"MG(w, nu=3, w=1.25)",255,3,1.193344e-02,6.222103e-06,1.256123e-05
"MG(w, nu=3, w=1.25)",511,3,4.712536e-02,1.516201e-06,3.233556e-06
"MG(w, nu=3, w=auto)",15,4,1.777890e-04,1.520758e-03,3.029704e-03
"MG(w, nu=3, w=auto)",31,6,6.497010e-04,4.012766e-04,8.498430e-04
"MG(w, nu=3, w=auto)",63,13,3.690848e-03,1.002529e-04,2.028960e-04
"MG(w, nu=3, w=auto)",127,25,4.817596e-02,2.505358e-05,5.307629e-05
"MG(w, nu=3, w=auto)",255,55,1.493559e-01,6.143032e-06,1.408268e-05
"MG(w, nu=3, w=auto)",511,200,1.316058e+00,2.992530e-06,1.081776e-05
