Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1185,3.276440e-04,3.446380e-12,6.892764e-12
Jacobi,23,2674,1.557264e-03,3.502649e-12,7.005292e-12
Jacobi,31,4760,4.717773e-03,3.498426e-12,6.996848e-12
Jacobi,47,10717,2.414476e-02,3.517866e-12,7.035740e-12
Jacobi,63,19057,7.810626e-02,3.523838e-12,7.047675e-12
Jacobi,95,42884,3.889540e-01,3.531017e-12,7.062143e-12
Jacobi,127,76241,1.227554e+00,3.534426e-12,7.068846e-12
RB GS,15,602,5.001090e-04,2.407255e-12,4.767582e-12
RB GS,23,1358,2.538365e-03,2.452168e-12,4.883219e-12
RB GS,31,2416,1.424910e-02,2.477366e-12,4.942768e-12
RB GS,47,5440,4.331470e-02,2.483223e-12,4.961136e-12
RB GS,63,9673,7.972909e-02,2.488872e-12,4.974750e-12
RB GS,95,21766,3.751807e-01,2.496297e-12,4.991375e-12
RB GS,127,38696,1.232237e+00,2.499245e-12,4.997738e-12
RB SOR,15,73,5.420590e-04,2.959508e-13,6.311271e-13
RB SOR,23,111,1.768480e-04,2.222528e-13,4.671402e-13
RB SOR,31,150,4.716530e-04,1.570729e-13,3.274811e-13
RB SOR,47,228,1.866090e-03,1.100024e-13,2.268255e-13
RB SOR,63,307,3.392549e-03,8.340518e-14,1.709397e-13
RB SOR,95,466,1.322134e-02,5.920437e-14,1.205286e-13
RB SOR,127,628,3.010143e-02,4.321263e-14,8.750639e-14
MG V-cycle,15,13,2.246020e-04,1.741536e-13,2.500430e-13
MG V-cycle,23,14,3.425330e-04,2.152796e-13,2.955622e-13
MG V-cycle,31,14,4.320860e-04,8.309687e-14,1.267181e-13
MG V-cycle,47,15,1.809801e-03,5.727552e-14,8.339857e-14
MG V-cycle,63,15,1.173075e-03,2.260561e-14,3.859586e-14
MG V-cycle,95,16,2.326963e-03,1.215655e-14,1.967350e-14
MG V-cycle,127,16,4.109681e-03,4.969549e-15,9.737437e-15
MG W-cycle,15,11,5.234500e-04,4.277620e-14,8.636147e-14
MG W-cycle,23,11,7.285390e-04,1.522055e-14,4.380350e-14
MG W-cycle,31,11,1.044048e-03,7.633508e-15,2.644846e-14
MG W-cycle,47,11,2.686618e-03,3.122536e-15,1.254118e-14
MG W-cycle,63,11,2.312369e-03,1.790755e-15,7.284538e-15
MG W-cycle,95,11,5.352094e-03,9.033177e-16,4.183286e-15
MG W-cycle,127,11,6.808531e-03,5.852436e-16,3.135079e-15
