Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,306,8.542500e-05,2.953815e-04,5.717083e-04
Jacobi,23,697,4.019950e-04,1.319268e-04,2.556500e-04
Jacobi,31,1245,1.266200e-03,7.433227e-05,1.438534e-04
Jacobi,47,2808,6.299554e-03,3.307519e-05,6.408442e-05
Jacobi,63,4996,2.028504e-02,1.861233e-05,3.615083e-05
Jacobi,95,11247,1.015699e-01,8.274526e-06,1.608248e-05
Jacobi,127,19996,3.211621e-01,4.654884e-06,9.044162e-06
RB GS,15,156,1.145120e-04,2.953815e-04,5.717083e-04
RB GS,23,354,5.597440e-04,1.319268e-04,2.556500e-04
RB GS,31,632,2.499739e-03,7.433227e-05,1.438534e-04
RB GS,47,1425,9.970005e-03,3.307519e-05,6.408442e-05
RB GS,63,2535,3.125213e-02,1.861233e-05,3.615084e-05
RB GS,95,5705,1.102643e-01,8.274529e-06,1.608248e-05
RB GS,127,10142,3.230290e-01,4.654887e-06,9.044168e-06
RB SOR,15,67,5.379401e-05,2.953815e-04,5.717083e-04
RB SOR,23,102,2.673170e-04,1.319268e-04,2.556500e-04
RB SOR,31,138,3.830240e-04,7.433228e-05,1.438535e-04
RB SOR,47,213,1.316620e-03,3.307520e-05,6.408444e-05
RB SOR,63,286,3.151752e-03,1.861234e-05,3.615085e-05
RB SOR,95,439,1.227661e-02,8.274537e-06,1.608250e-05
RB SOR,127,592,2.802263e-02,4.654896e-06,9.044184e-06
MG V-cycle,15,11,1.923980e-04,2.953815e-04,5.717083e-04
MG V-cycle,23,13,3.225010e-04,1.319268e-04,2.556500e-04
MG V-cycle,31,13,8.354800e-04,7.433228e-05,1.438535e-04
MG V-cycle,47,14,7.001840e-04,3.307520e-05,6.408444e-05
MG V-cycle,63,15,1.139542e-03,1.861234e-05,3.615085e-05
MG V-cycle,95,15,2.708132e-03,8.274537e-06,1.608250e-05
MG V-cycle,127,16,3.667395e-03,4.654896e-06,9.044184e-06
MG W-cycle,15,11,3.940860e-04,2.953815e-04,5.717083e-04
MG W-cycle,23,11,1.718455e-03,1.319268e-04,2.556500e-04
MG W-cycle,31,11,9.123580e-04,7.433228e-05,1.438535e-04
MG W-cycle,47,12,1.926864e-03,3.307520e-05,6.408444e-05
MG W-cycle,63,12,2.527421e-03,1.861234e-05,3.615085e-05
MG W-cycle,95,12,4.993003e-03,8.274538e-06,1.608250e-05
MG W-cycle,127,12,1.133279e-02,4.654896e-06,9.044184e-06
