Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1292,3.480930e-04,7.711183e-05,1.399548e-04
Jacobi,23,2915,1.716990e-03,3.434558e-05,6.235898e-05
Jacobi,31,5186,5.131534e-03,1.933381e-05,3.508528e-05
Jacobi,47,11673,2.630575e-02,8.597358e-06,1.560909e-05
Jacobi,63,20752,8.478750e-02,4.836899e-06,8.785548e-06
Jacobi,95,46691,4.216466e-01,2.150001e-06,3.905402e-06
Jacobi,127,83005,1.326900e+00,1.209418e-06,2.196725e-06
RB GS,15,656,4.656410e-04,7.711184e-05,1.399549e-04
RB GS,23,1478,4.546502e-03,3.434558e-05,6.235900e-05
RB GS,31,2629,8.737824e-03,1.933382e-05,3.508530e-05
RB GS,47,5918,4.141730e-02,8.597367e-06,1.560910e-05
RB GS,63,10520,8.631194e-02,4.836908e-06,8.785565e-06
RB GS,95,23668,4.097383e-01,2.150010e-06,3.905420e-06
RB GS,127,42074,1.341593e+00,1.209427e-06,2.196743e-06
RB SOR,15,78,5.911701e-05,7.711186e-05,1.399549e-04
RB SOR,23,119,1.884380e-04,3.434560e-05,6.235904e-05
RB SOR,31,161,4.520300e-04,1.933384e-05,3.508534e-05
RB SOR,47,244,1.866993e-03,8.597388e-06,1.560914e-05
RB SOR,63,328,3.751033e-03,4.836930e-06,8.785606e-06
RB SOR,95,499,1.281331e-02,2.150032e-06,3.905462e-06
RB SOR,127,671,3.166367e-02,1.209449e-06,2.196785e-06
MG V-cycle,15,14,2.429370e-04,7.711186e-05,1.399549e-04
MG V-cycle,23,16,3.955930e-04,3.434560e-05,6.235904e-05
MG V-cycle,31,15,5.080460e-04,1.933384e-05,3.508534e-05
MG V-cycle,47,16,7.988140e-04,8.597388e-06,1.560914e-05
MG V-cycle,63,16,1.199724e-03,4.836930e-06,8.785607e-06
MG V-cycle,95,17,2.973559e-03,2.150032e-06,3.905463e-06
MG V-cycle,127,17,4.371807e-03,1.209449e-06,2.196785e-06
MG W-cycle,15,12,4.338900e-04,7.711186e-05,1.399549e-04
MG W-cycle,23,12,8.219780e-04,3.434561e-05,6.235904e-05
MG W-cycle,31,12,1.818471e-03,1.933384e-05,3.508534e-05
MG W-cycle,47,12,1.977840e-03,8.597389e-06,1.560914e-05
MG W-cycle,63,12,5.107890e-03,4.836930e-06,8.785608e-06
MG W-cycle,95,13,5.559051e-03,2.150032e-06,3.905463e-06
MG W-cycle,127,13,8.111494e-03,1.209449e-06,2.196785e-06
