Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,177,5.089400e-05,1.214909e-02,2.429817e-02
Jacobi,23,407,2.427030e-04,5.359167e-03,1.071833e-02
Jacobi,31,728,7.282320e-04,3.006631e-03,6.013262e-03
Jacobi,47,1647,3.853236e-03,1.333781e-03,2.667561e-03
Jacobi,63,2934,1.196272e-02,7.497604e-04,1.499521e-03
Jacobi,95,6609,6.015291e-02,3.330710e-04,6.661420e-04
Jacobi,127,11755,1.895985e-01,1.873218e-04,3.746435e-04
RB GS,15,90,6.723301e-05,1.214909e-02,2.429817e-02
RB GS,23,207,3.267120e-04,5.359167e-03,1.071833e-02
RB GS,31,370,1.082843e-03,3.006631e-03,6.013262e-03
RB GS,47,837,6.254655e-03,1.333781e-03,2.667561e-03
RB GS,63,1489,1.819159e-02,7.497604e-04,1.499521e-03
RB GS,95,3355,7.786086e-02,3.330710e-04,6.661420e-04
RB GS,127,5966,1.891456e-01,1.873218e-04,3.746435e-04
RB SOR,15,61,5.674100e-05,1.214909e-02,2.429817e-02
RB SOR,23,92,1.900060e-04,5.359167e-03,1.071833e-02
RB SOR,31,123,3.931160e-04,3.006631e-03,6.013262e-03
RB SOR,47,184,1.332898e-03,1.333781e-03,2.667561e-03
RB SOR,63,245,7.369770e-03,7.497604e-04,1.499521e-03
RB SOR,95,368,1.279026e-02,3.330710e-04,6.661421e-04
RB SOR,127,491,2.398661e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,11,1.897240e-04,1.214909e-02,2.429817e-02
MG V-cycle,23,12,3.445170e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,12,3.728010e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,13,6.494320e-04,1.333781e-03,2.667561e-03
MG V-cycle,63,13,9.906200e-04,7.497604e-04,1.499521e-03
MG V-cycle,95,14,2.239399e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,14,3.176892e-03,1.873218e-04,3.746436e-04
MG W-cycle,15,10,3.556400e-04,1.214909e-02,2.429817e-02
MG W-cycle,23,10,6.747740e-04,5.359167e-03,1.071833e-02
MG W-cycle,31,10,8.327960e-04,3.006631e-03,6.013262e-03
MG W-cycle,47,10,2.015649e-03,1.333781e-03,2.667561e-03
MG W-cycle,63,10,2.633692e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,10,4.301043e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,10,5.802889e-03,1.873218e-04,3.746436e-04
