Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1187,3.810160e-04,1.609482e-03,3.218964e-03
Jacobi,23,2680,1.615452e-03,7.145591e-04,1.429118e-03
Jacobi,31,4771,4.809752e-03,4.017888e-04,8.035776e-04
Jacobi,47,10743,2.473932e-02,1.785250e-04,3.570499e-04
Jacobi,63,19105,7.933214e-02,1.004109e-04,2.008217e-04
Jacobi,95,42995,4.006522e-01,4.462403e-05,8.924806e-05
Jacobi,127,76441,1.226878e+00,2.510041e-05,5.020082e-05
RB GS,15,603,4.457620e-04,1.609482e-03,3.218964e-03
RB GS,23,1361,2.156635e-03,7.145591e-04,1.429118e-03
RB GS,31,2422,6.970526e-03,4.017888e-04,8.035776e-04
RB GS,47,5453,4.068760e-02,1.785250e-04,3.570499e-04
RB GS,63,9697,8.189775e-02,1.004109e-04,2.008217e-04
RB GS,95,21821,3.808353e-01,4.462405e-05,8.924809e-05
RB GS,127,38796,1.243109e+00,2.510042e-05,5.020085e-05
RB SOR,15,73,5.881900e-05,1.609482e-03,3.218964e-03
RB SOR,23,111,1.869250e-04,7.145592e-04,1.429118e-03
RB SOR,31,150,4.479300e-04,4.017888e-04,8.035777e-04
RB SOR,47,228,1.594852e-03,1.785250e-04,3.570500e-04
RB SOR,63,307,3.446447e-03,1.004109e-04,2.008218e-04
RB SOR,95,467,1.198395e-02,4.462408e-05,8.924816e-05
RB SOR,127,629,3.083665e-02,2.510046e-05,5.020091e-05
MG V-cycle,15,13,2.865910e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,14,2.505710e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,14,2.870820e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,15,5.961080e-04,1.785250e-04,3.570500e-04
MG V-cycle,63,15,7.842560e-04,1.004109e-04,2.008218e-04
MG V-cycle,95,16,1.541352e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,16,2.692962e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,11,3.858280e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,11,7.919800e-04,7.145592e-04,1.429118e-03
MG W-cycle,31,11,9.785440e-04,4.017888e-04,8.035777e-04
MG W-cycle,47,11,1.866509e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,11,2.375378e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,11,5.100449e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,11,6.420506e-03,2.510046e-05,5.020092e-05
