Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,235,1.297170e-04,3.484343e-04,6.968677e-04
Jacobi,23,531,5.557220e-04,3.474204e-04,6.948486e-04
Jacobi,31,943,1.721124e-03,3.511091e-04,7.022172e-04
Jacobi,47,2123,8.489817e-03,3.515862e-04,7.031634e-04
Jacobi,63,3773,2.772114e-02,3.526179e-04,7.052422e-04
Jacobi,95,8488,1.427070e-01,3.531698e-04,7.063933e-04
Jacobi,127,15086,4.471859e-01,3.532161e-04,7.064641e-04
RB GS,15,127,1.221790e-04,2.433781e-04,4.820153e-04
RB GS,23,286,5.947500e-04,2.453221e-04,4.885366e-04
RB GS,31,508,1.972119e-03,2.474358e-04,4.936755e-04
RB GS,47,1143,1.083749e-02,2.481759e-04,4.958134e-04
RB GS,63,2031,3.494677e-02,2.490495e-04,4.977956e-04
RB GS,95,4568,1.331569e-01,2.496681e-04,4.992605e-04
RB GS,127,8117,4.022133e-01,2.498322e-04,4.996359e-04
RB SOR,15,24,2.778000e-05,2.675429e-05,5.664304e-05
RB SOR,23,37,8.088299e-05,2.163651e-05,4.505201e-05
RB SOR,31,51,1.934600e-04,1.621832e-05,3.346428e-05
RB SOR,47,79,6.894040e-04,1.209729e-05,2.476904e-05
RB SOR,63,109,1.697631e-03,8.745391e-06,1.792610e-05
RB SOR,95,170,5.956412e-03,5.880761e-06,1.210430e-05
RB SOR,127,232,1.411531e-02,4.215578e-06,8.597970e-06
MG V-cycle,15,4,8.107300e-05,1.092254e-05,1.576170e-05
MG V-cycle,23,4,1.103950e-04,2.001453e-05,2.732408e-05
MG V-cycle,31,4,1.442440e-04,1.421272e-05,2.197083e-05
MG V-cycle,47,5,3.127370e-04,3.596552e-06,5.140809e-06
MG V-cycle,63,5,4.276210e-04,2.409664e-06,4.077330e-06
MG V-cycle,95,5,8.589930e-04,3.723663e-06,5.339456e-06
MG V-cycle,127,5,1.369070e-03,2.500183e-06,4.327158e-06
MG W-cycle,15,3,2.138800e-04,1.345984e-05,2.323836e-05
MG W-cycle,23,3,2.518820e-04,6.650388e-06,1.450722e-05
MG W-cycle,31,3,3.304340e-04,4.111067e-06,1.079962e-05
MG W-cycle,47,3,5.902660e-04,2.156867e-06,7.223246e-06
MG W-cycle,63,3,7.411060e-04,1.385901e-06,5.437061e-06
MG W-cycle,95,3,1.431859e-03,7.510847e-07,3.643984e-06
MG W-cycle,127,4,6.121259e-03,3.725021e-08,2.090819e-07
