Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,73,3.898800e-05,8.084696e-04,1.655132e-03
Jacobi,23,166,1.777870e-04,1.003936e-03,2.028078e-03
Jacobi,31,295,5.666090e-04,1.099910e-03,2.211094e-03
Jacobi,47,664,2.681017e-03,1.164700e-03,2.334595e-03
Jacobi,63,1180,8.693806e-03,1.191217e-03,2.385467e-03
Jacobi,95,2652,4.608520e-02,1.215946e-03,2.433330e-03
Jacobi,127,4712,1.410591e-01,1.225765e-03,2.452224e-03
RB GS,15,39,4.994700e-05,4.852669e-04,1.025469e-03
RB GS,23,88,1.870560e-04,6.870331e-04,1.386597e-03
RB GS,31,157,6.612870e-04,7.466633e-04,1.497221e-03
RB GS,47,353,3.131074e-03,8.057689e-04,1.611867e-03
RB GS,63,626,1.715386e-02,8.383239e-04,1.676504e-03
RB GS,95,1407,6.090093e-02,8.578303e-04,1.715486e-03
RB GS,127,2500,1.256271e-01,8.654739e-04,1.730756e-03
RB SOR,15,19,2.394200e-05,2.084863e-04,4.259622e-04
RB SOR,23,32,7.263901e-05,1.244378e-04,3.377505e-04
RB SOR,31,44,1.716870e-04,1.007833e-04,2.905726e-04
RB SOR,47,71,7.179950e-04,7.621299e-05,1.497717e-04
RB SOR,63,99,1.678787e-03,4.241600e-05,9.746062e-05
RB SOR,95,157,5.440923e-03,1.060180e-05,5.115469e-05
RB SOR,127,217,1.779011e-02,6.338123e-06,2.688971e-05
MG V-cycle,15,3,6.136701e-05,1.488199e-04,3.859491e-04
MG V-cycle,23,4,1.122000e-04,6.413837e-05,1.479387e-04
MG V-cycle,31,4,1.469520e-04,7.785401e-05,2.306302e-04
MG V-cycle,47,5,2.953560e-04,2.165272e-05,4.452108e-05
MG V-cycle,63,5,4.684720e-04,2.108643e-05,7.186812e-05
MG V-cycle,95,6,1.008476e-03,6.343479e-06,1.350072e-05
MG V-cycle,127,6,2.299156e-03,4.883689e-06,1.826715e-05
MG W-cycle,15,3,1.241820e-04,1.244171e-04,2.949528e-04
MG W-cycle,23,4,3.017780e-04,1.181928e-04,2.473883e-04
MG W-cycle,31,4,3.917040e-04,6.779825e-05,1.470491e-04
MG W-cycle,47,4,7.351570e-04,3.340095e-05,7.009542e-05
MG W-cycle,63,4,9.645460e-04,2.171541e-05,8.299858e-05
MG W-cycle,95,5,2.594923e-03,8.255854e-06,1.617252e-05
MG W-cycle,127,5,3.416002e-03,4.680612e-06,9.126023e-06
