Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,343,1.642740e-04,2.878001e-03,5.771720e-03
Jacobi,23,771,7.988170e-04,3.024765e-03,6.056868e-03
Jacobi,31,1370,2.493637e-03,3.077537e-03,6.160580e-03
Jacobi,47,3078,1.225106e-02,3.137801e-03,6.275736e-03
Jacobi,63,5471,4.024238e-02,3.157327e-03,6.318175e-03
Jacobi,95,12307,2.064447e-01,3.156452e-03,6.319605e-03
Jacobi,127,21919,6.496429e-01,3.111256e-03,6.228530e-03
RB GS,15,181,2.349940e-04,1.987595e-03,3.957624e-03
RB GS,23,406,8.766660e-04,2.126471e-03,4.243872e-03
RB GS,31,721,2.713250e-03,2.173697e-03,4.342368e-03
RB GS,47,1620,1.554600e-02,2.216558e-03,4.429567e-03
RB GS,63,2879,4.939404e-02,2.234656e-03,4.470516e-03
RB GS,95,6471,1.809068e-01,2.243126e-03,4.492573e-03
RB GS,127,11507,5.700599e-01,2.232030e-03,4.465514e-03
RB SOR,15,29,3.263500e-05,2.297969e-04,5.820938e-04
RB SOR,23,46,9.874100e-05,1.401679e-04,2.940634e-04
RB SOR,31,62,2.314690e-04,1.351612e-04,2.940206e-04
RB SOR,47,97,8.237930e-04,8.559694e-05,1.699228e-04
RB SOR,63,132,2.036791e-03,7.207387e-05,1.501326e-04
RB SOR,95,206,9.275396e-03,3.311720e-05,7.628831e-05
RB SOR,127,100000,5.036961e+00,2.277857e-05,5.375204e-05
MG V-cycle,15,5,6.626800e-05,7.284984e-05,1.495363e-04
MG V-cycle,23,5,9.044200e-05,2.610778e-04,4.356578e-04
MG V-cycle,31,6,2.284060e-04,2.255125e-05,5.802035e-05
MG V-cycle,47,6,3.841150e-04,5.421521e-05,1.067993e-04
MG V-cycle,63,6,5.681330e-04,4.258413e-05,1.131027e-04
MG V-cycle,95,7,1.688526e-03,1.029211e-05,2.609744e-05
MG V-cycle,127,7,1.944738e-03,7.985192e-06,2.640803e-05
MG W-cycle,15,4,1.617470e-04,1.346953e-04,4.075052e-04
MG W-cycle,23,5,3.828480e-04,3.297852e-05,6.225485e-05
MG W-cycle,31,5,4.918200e-04,1.972223e-05,4.280156e-05
MG W-cycle,47,5,1.038534e-03,1.036039e-05,5.064414e-05
MG W-cycle,63,5,1.232846e-03,7.145912e-06,5.290811e-05
MG W-cycle,95,5,5.142427e-03,4.871424e-06,5.597044e-05
MG W-cycle,127,5,6.638562e-03,3.916838e-06,5.690722e-05
