Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,36,2.383500e-05,7.478118e-03,1.495636e-02
Jacobi,23,82,8.559400e-05,5.135923e-04,1.027107e-03
Jacobi,31,146,2.651770e-04,1.957758e-03,3.915250e-03
Jacobi,47,330,1.297045e-03,3.634973e-03,7.269979e-03
Jacobi,63,587,4.309642e-03,4.243630e-03,8.487582e-03
Jacobi,95,1322,2.203213e-02,4.665398e-03,9.330750e-03
Jacobi,127,2351,7.182727e-02,4.812717e-03,9.625614e-03
RB GS,15,20,2.253799e-05,9.186288e-03,1.875484e-02
RB GS,23,44,9.398801e-05,1.812589e-03,3.820658e-03
RB GS,31,79,3.025540e-04,4.476319e-04,9.931993e-04
RB GS,47,178,1.563342e-03,2.145070e-03,4.301404e-03
RB GS,63,316,5.082722e-03,2.771478e-03,5.563683e-03
RB GS,95,711,2.714877e-02,3.201030e-03,6.400567e-03
RB GS,127,1265,7.062646e-02,3.337265e-03,6.679417e-03
RB SOR,15,14,1.768200e-05,9.936307e-03,2.029610e-02
RB SOR,23,20,4.496300e-05,3.100289e-03,6.227241e-03
RB SOR,31,27,1.029510e-04,6.668064e-04,1.405351e-03
RB SOR,47,41,3.566930e-04,1.023691e-03,2.041196e-03
RB SOR,63,55,1.156831e-03,1.593534e-03,3.213889e-03
RB SOR,95,82,2.832789e-03,2.021649e-03,4.039269e-03
RB SOR,127,109,7.262423e-03,2.167111e-03,4.336953e-03
MG V-cycle,15,3,6.158500e-05,1.193366e-02,2.423692e-02
MG V-cycle,23,3,8.523501e-05,4.983413e-03,1.057386e-02
MG V-cycle,31,3,1.103520e-04,2.574621e-03,5.835772e-03
MG V-cycle,47,4,2.378140e-04,1.274223e-03,2.659678e-03
MG V-cycle,63,4,3.555890e-04,6.889973e-04,1.491666e-03
MG V-cycle,95,4,6.758990e-04,2.827816e-04,6.567240e-04
MG V-cycle,127,4,1.057684e-03,1.564772e-04,3.659660e-04
MG W-cycle,15,3,1.232800e-04,1.194840e-02,2.415717e-02
MG W-cycle,23,3,2.282820e-04,5.230359e-03,1.068258e-02
MG W-cycle,31,3,3.111000e-04,2.947096e-03,6.006479e-03
MG W-cycle,47,3,5.823360e-04,1.318771e-03,2.673030e-03
MG W-cycle,63,3,7.452380e-04,7.446265e-04,1.499414e-03
MG W-cycle,95,3,1.421300e-03,3.321973e-04,6.661415e-04
MG W-cycle,127,3,1.955009e-03,1.872256e-04,3.746748e-04
