Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,238,1.333680e-04,3.344975e-03,6.689847e-03
Jacobi,23,536,5.668350e-04,4.292038e-03,8.583903e-03
Jacobi,31,955,1.737207e-03,4.579704e-03,9.159505e-03
Jacobi,47,2149,8.555163e-03,4.818564e-03,9.637356e-03
Jacobi,63,3821,2.761717e-02,4.899856e-03,9.799361e-03
Jacobi,95,8599,1.433427e-01,4.954401e-03,9.908140e-03
Jacobi,127,15295,4.549784e-01,4.964848e-03,9.930015e-03
RB GS,15,128,1.331960e-04,1.919179e-03,3.831118e-03
RB GS,23,289,1.166885e-03,2.790532e-03,5.562996e-03
RB GS,31,514,1.925204e-03,3.108772e-03,6.204553e-03
RB GS,47,1156,1.313591e-02,3.348859e-03,6.691199e-03
RB GS,63,2055,3.739418e-02,3.431294e-03,6.858236e-03
RB GS,95,4624,1.324328e-01,3.487341e-03,6.972210e-03
RB GS,127,8220,4.071301e-01,3.509752e-03,7.018865e-03
RB SOR,15,24,2.737300e-05,1.207953e-03,2.486467e-03
RB SOR,23,37,8.044399e-05,3.900586e-04,8.178949e-04
RB SOR,31,51,2.107830e-04,1.586096e-04,3.380775e-04
RB SOR,47,80,7.020260e-04,1.775151e-05,4.353575e-05
RB SOR,63,109,1.700932e-03,3.121525e-05,6.795577e-05
RB SOR,95,171,5.850212e-03,3.807691e-05,7.869413e-05
RB SOR,127,234,1.850137e-02,3.815801e-05,7.857513e-05
MG V-cycle,15,4,5.725300e-05,1.478913e-03,3.095984e-03
MG V-cycle,23,4,7.544601e-05,4.877770e-04,1.144409e-03
MG V-cycle,31,4,9.753300e-05,2.813876e-04,6.707907e-04
MG V-cycle,47,5,2.192670e-04,1.401775e-04,3.119707e-04
MG V-cycle,63,5,3.013590e-04,8.075519e-05,1.817942e-04
MG V-cycle,95,5,5.987370e-04,3.389477e-05,7.127538e-05
MG V-cycle,127,5,1.002180e-03,2.690187e-05,5.945758e-05
MG W-cycle,15,3,1.235760e-04,1.531345e-03,3.234863e-03
MG W-cycle,23,3,2.252080e-04,6.984327e-04,1.430631e-03
MG W-cycle,31,3,3.285140e-04,3.972025e-04,8.039474e-04
MG W-cycle,47,3,6.754760e-04,1.784300e-04,3.570318e-04
MG W-cycle,63,3,8.446930e-04,1.009799e-04,2.007484e-04
MG W-cycle,95,3,1.512761e-03,4.532237e-05,8.928776e-05
MG W-cycle,127,3,2.073658e-03,2.566432e-05,5.018711e-05
