Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,72,3.637800e-05,4.335911e-13,9.251211e-13
RB SOR,31,148,2.688120e-04,2.297615e-13,4.780898e-13
RB SOR,63,303,2.162885e-03,1.219865e-13,2.497863e-13
RB SOR,127,620,1.867740e-02,6.322107e-14,1.282169e-13
RB SOR,255,1269,1.842331e-01,3.180886e-14,6.406681e-14
RB SOR,511,2601,1.241345e+00,1.496528e-14,3.002459e-14
"MG(v, nu=3, w=1.25)",15,7,1.321210e-04,5.834793e-13,8.636286e-13
"MG(v, nu=3, w=1.25)",31,8,2.865130e-04,4.513539e-14,6.336251e-14
"MG(v, nu=3, w=1.25)",63,8,7.596720e-04,6.159085e-14,8.669801e-14
"MG(v, nu=3, w=1.25)",127,9,2.740202e-03,2.629817e-15,3.621235e-15
"MG(v, nu=3, w=1.25)",255,9,9.951305e-03,2.631525e-15,4.035834e-15
"MG(v, nu=3, w=1.25)",511,9,4.347739e-02,1.844305e-15,4.422027e-15
"MG(v, nu=3, w=auto)",15,13,2.576760e-04,7.551509e-13,1.674015e-12
"MG(v, nu=3, w=auto)",31,25,8.913760e-04,3.261380e-13,6.871517e-13
"MG(v, nu=3, w=auto)",63,47,4.369747e-03,1.256799e-13,2.932377e-13
"MG(v, nu=3, w=auto)",127,96,2.953949e-02,3.561756e-14,1.136244e-13
"MG(v, nu=3, w=auto)",255,196,1.820679e-01,1.294131e-14,4.973105e-14
"MG(v, nu=3, w=auto)",511,200,6.727851e-01,7.412199e-09,2.431521e-08
"MG(w, nu=3, w=1.25)",15,7,2.677020e-04,2.385614e-14,4.029416e-14
"MG(w, nu=3, w=1.25)",31,7,6.303440e-04,2.150229e-15,6.487866e-15
"MG(w, nu=3, w=1.25)",63,7,1.756262e-03,3.874672e-16,1.990595e-15
"MG(w, nu=3, w=1.25)",127,7,5.388706e-03,3.304786e-16,9.575674e-16
"MG(w, nu=3, w=1.25)",255,7,2.075518e-02,1.342380e-15,4.427014e-15
"MG(w, nu=3, w=1.25)",511,7,5.540007e-02,7.323534e-16,2.886580e-15
"MG(w, nu=3, w=auto)",15,12,4.923270e-04,1.850881e-13,4.230644e-13
"MG(w, nu=3, w=auto)",31,21,2.008542e-03,1.019896e-13,3.405748e-13
"MG(w, nu=3, w=auto)",63,43,1.834212e-02,5.880454e-15,2.455675e-14
"MG(w, nu=3, w=auto)",127,86,6.532159e-02,1.552292e-15,9.853229e-15
"MG(w, nu=3, w=auto)",255,172,2.861954e-01,5.149583e-16,3.740064e-15
"MG(w, nu=3, w=auto)",511,200,1.127446e+00,6.732225e-12,3.476369e-11
