Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,72,1.260610e-04,2.953815e-04,5.717083e-04
RB SOR,31,149,2.952530e-04,7.433228e-05,1.438535e-04
RB SOR,63,309,2.196049e-03,1.861234e-05,3.615086e-05
RB SOR,127,639,1.889480e-02,4.654896e-06,9.044184e-06
RB SOR,255,1351,1.846239e-01,1.163837e-06,2.262062e-06
RB SOR,511,100000,4.743563e+01,2.909662e-07,5.655294e-07
"MG(v, nu=3, w=1.25)",15,6,1.369410e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,8,3.300690e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,9,8.289350e-04,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,9,2.749176e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,10,1.093554e-02,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,10,4.627906e-02,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,12,2.293800e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,27,9.761470e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,55,5.274434e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,112,4.098628e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,200,1.823369e-01,1.163837e-06,2.262061e-06
"MG(v, nu=3, w=auto)",511,200,6.775251e-01,2.943258e-07,1.155036e-06
"MG(w, nu=3, w=1.25)",15,6,2.500390e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,6.341430e-04,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,8,2.275648e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,8,6.518786e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,8,1.752354e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,5.782822e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,12,4.416460e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,25,5.767203e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,51,1.781872e-02,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,104,7.642777e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,200,3.227122e-01,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=auto)",511,200,1.126731e+00,2.910944e-07,5.892342e-07
