Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,83,4.115399e-05,7.711186e-05,1.399549e-04
RB SOR,31,170,3.331130e-04,1.933384e-05,3.508534e-05
RB SOR,63,348,2.507713e-03,4.836930e-06,8.785607e-06
RB SOR,127,100000,2.959852e+00,1.209449e-06,2.196785e-06
RB SOR,255,100000,1.208455e+01,3.023759e-07,5.492652e-07
RB SOR,511,100000,4.736229e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,9,2.647380e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,4.538720e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,10,1.240126e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=1.25)",127,10,3.691722e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,11,2.035818e-02,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,200,6.574850e-01,7.559484e-08,1.373179e-07
"MG(v, nu=3, w=auto)",15,16,3.948790e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,30,1.074566e-03,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=auto)",63,60,5.449575e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,200,6.414948e-02,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=auto)",255,200,1.876397e-01,3.023756e-07,5.492638e-07
"MG(v, nu=3, w=auto)",511,200,6.608146e-01,4.106969e-06,2.120521e-05
"MG(w, nu=3, w=1.25)",15,8,2.838060e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,8,1.005745e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,1.857748e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,5.420359e-03,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,9,1.940019e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,200,1.136351e+00,7.559482e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,14,5.075940e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,27,2.494650e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,54,1.341993e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,200,1.147679e-01,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,200,3.233782e-01,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=auto)",511,200,1.140551e+00,8.665968e-08,3.070091e-07
