Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,79,6.492401e-05,1.609482e-03,3.218964e-03
RB SOR,31,162,3.119220e-04,4.017888e-04,8.035777e-04
RB SOR,63,331,2.372510e-03,1.004109e-04,2.008218e-04
RB SOR,127,677,2.064657e-02,2.510046e-05,5.020092e-05
RB SOR,255,1413,2.136020e-01,6.274973e-06,1.254995e-05
RB SOR,511,100000,4.712824e+01,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=1.25)",15,8,1.758490e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,9,3.280740e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,9,2.603126e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,5.121661e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,10,1.183927e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,10,6.006827e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,15,3.983750e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,28,1.045032e-03,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,52,4.802242e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,105,5.994566e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,200,2.091829e-01,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=auto)",511,200,6.867915e-01,1.552447e-06,3.335176e-06
"MG(w, nu=3, w=1.25)",15,7,2.721500e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,6.745320e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,1.692776e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,4.835562e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,2.232371e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,5.516105e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,13,5.246650e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,24,2.190258e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,47,1.160243e-02,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,95,7.390660e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,192,3.437856e-01,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=auto)",511,200,1.117709e+00,1.568737e-06,3.137644e-06
