Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,22,2.733999e-05,5.453047e-05,1.164861e-04
RB SOR,31,49,1.432440e-04,2.317677e-05,4.779920e-05
RB SOR,63,105,1.150577e-03,1.251394e-05,2.548844e-05
RB SOR,127,224,1.011947e-02,6.249943e-06,1.279265e-05
RB SOR,255,513,1.171394e-01,1.044637e-06,3.141351e-06
RB SOR,511,100000,7.356230e+01,1.036215e-06,1.956767e-06
"MG(v, nu=3, w=1.25)",15,2,4.784900e-05,2.839554e-05,4.200637e-05
"MG(v, nu=3, w=1.25)",31,3,1.306420e-04,1.126569e-06,1.596287e-06
"MG(v, nu=3, w=1.25)",63,3,3.306070e-04,1.216045e-06,1.756474e-06
"MG(v, nu=3, w=1.25)",127,3,1.260922e-03,1.232867e-06,1.785345e-06
"MG(v, nu=3, w=1.25)",255,3,4.338762e-03,1.234503e-06,1.690583e-06
"MG(v, nu=3, w=1.25)",511,4,2.218009e-02,4.426871e-08,6.461050e-08
"MG(v, nu=3, w=auto)",15,4,8.950199e-05,1.840721e-05,4.124269e-05
"MG(v, nu=3, w=auto)",31,8,3.378060e-04,1.002531e-05,2.149120e-05
"MG(v, nu=3, w=auto)",63,14,1.502751e-03,1.285504e-05,2.567098e-05
"MG(v, nu=3, w=auto)",127,28,1.033460e-02,4.871824e-06,1.290813e-05
"MG(v, nu=3, w=auto)",255,60,8.304576e-02,1.222991e-06,3.975118e-06
"MG(v, nu=3, w=auto)",511,200,8.111085e-01,9.229709e-08,4.149188e-07
"MG(w, nu=3, w=1.25)",15,2,8.828400e-05,1.107885e-05,1.851097e-05
"MG(w, nu=3, w=1.25)",31,2,2.120420e-04,3.585222e-06,7.481314e-06
"MG(w, nu=3, w=1.25)",63,2,6.180120e-04,1.184954e-06,3.890134e-06
"MG(w, nu=3, w=1.25)",127,2,1.979105e-03,4.216969e-07,2.026558e-06
"MG(w, nu=3, w=1.25)",255,3,7.791704e-03,2.424956e-09,1.490116e-08
"MG(w, nu=3, w=1.25)",511,3,3.303151e-02,1.892364e-09,1.712760e-08
"MG(w, nu=3, w=auto)",15,3,1.659750e-04,5.188990e-05,1.289845e-04
"MG(w, nu=3, w=auto)",31,6,6.491510e-04,2.570148e-06,9.678304e-06
"MG(w, nu=3, w=auto)",63,12,3.696153e-03,4.900463e-07,1.585111e-06
"MG(w, nu=3, w=auto)",127,24,2.327202e-02,1.572847e-07,6.370246e-07
"MG(w, nu=3, w=auto)",255,50,1.080684e-01,5.618015e-08,2.572779e-07
"MG(w, nu=3, w=auto)",511,200,1.322167e+00,2.092717e-07,6.072223e-07
