Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,24,1.984400e-05,1.219074e-02,2.437687e-02
RB SOR,31,48,1.518070e-04,3.048606e-03,6.096125e-03
RB SOR,63,108,1.208290e-03,7.390247e-04,1.477361e-03
RB SOR,127,191,8.851459e-03,2.297452e-04,4.599094e-04
RB SOR,255,100000,1.848913e+01,4.673662e-05,9.586157e-05
RB SOR,511,100000,7.356292e+01,1.260141e-05,2.866014e-05
"MG(v, nu=3, w=1.25)",15,2,4.529700e-05,1.214269e-02,2.432179e-02
"MG(v, nu=3, w=1.25)",31,3,1.250250e-04,3.005747e-03,6.014228e-03
"MG(v, nu=3, w=1.25)",63,3,3.448700e-04,7.479072e-04,1.500368e-03
"MG(v, nu=3, w=1.25)",127,4,2.140867e-03,1.872437e-04,3.745556e-04
"MG(v, nu=3, w=1.25)",255,4,5.226400e-03,4.673860e-05,9.363793e-05
"MG(v, nu=3, w=1.25)",511,200,7.714613e-01,1.167880e-05,2.350172e-05
"MG(v, nu=3, w=auto)",15,5,1.123380e-04,1.215023e-02,2.429879e-02
"MG(v, nu=3, w=auto)",31,9,3.849310e-04,3.029418e-03,6.062031e-03
"MG(v, nu=3, w=auto)",63,21,2.217688e-03,7.586548e-04,1.516581e-03
"MG(v, nu=3, w=auto)",127,200,6.974754e-02,1.873622e-04,3.751516e-04
"MG(v, nu=3, w=auto)",255,200,2.204591e-01,4.675469e-05,9.524175e-05
"MG(v, nu=3, w=auto)",511,200,7.768738e-01,1.177146e-05,2.737622e-05
"MG(w, nu=3, w=1.25)",15,2,8.728499e-05,1.214275e-02,2.432442e-02
"MG(w, nu=3, w=1.25)",31,3,3.262520e-04,3.005924e-03,6.013155e-03
"MG(w, nu=3, w=1.25)",63,3,9.029130e-04,7.495424e-04,1.499534e-03
"MG(w, nu=3, w=1.25)",127,3,2.541928e-03,1.872718e-04,3.745556e-04
"MG(w, nu=3, w=1.25)",255,3,1.082969e-02,4.679217e-05,9.366546e-05
"MG(w, nu=3, w=1.25)",511,200,1.276688e+00,1.167793e-05,2.350172e-05
"MG(w, nu=3, w=auto)",15,5,3.606220e-04,1.215023e-02,2.429891e-02
"MG(w, nu=3, w=auto)",31,9,1.435162e-03,3.032628e-03,6.064892e-03
"MG(w, nu=3, w=auto)",63,17,7.025938e-03,7.496657e-04,1.499229e-03
"MG(w, nu=3, w=auto)",127,200,1.359101e-01,1.873811e-04,3.753295e-04
"MG(w, nu=3, w=auto)",255,200,3.689022e-01,4.673066e-05,9.503727e-05
"MG(w, nu=3, w=auto)",511,200,1.258358e+00,1.229878e-05,2.779306e-05
