Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,30,4.985400e-05,1.563127e-03,3.134608e-03
RB SOR,31,64,1.762740e-04,3.784596e-04,7.591248e-04
RB SOR,63,135,1.484351e-03,8.794831e-05,1.767874e-04
RB SOR,127,100000,4.550774e+00,2.545981e-05,5.129176e-05
RB SOR,255,100000,1.831407e+01,5.374435e-06,1.205776e-05
RB SOR,511,100000,7.413271e+01,6.742995e-06,2.031684e-05
"MG(v, nu=3, w=1.25)",15,3,1.188810e-04,1.597990e-03,3.204465e-03
"MG(v, nu=3, w=1.25)",31,3,1.927610e-04,3.875621e-04,7.869005e-04
"MG(v, nu=3, w=1.25)",63,4,5.550090e-04,9.985328e-05,2.001524e-04
"MG(v, nu=3, w=1.25)",127,4,1.812814e-03,2.454738e-05,4.964970e-05
"MG(v, nu=3, w=1.25)",255,4,1.033985e-02,5.730941e-06,1.202754e-05
"MG(v, nu=3, w=1.25)",511,200,7.642384e-01,1.514848e-06,3.225354e-06
"MG(v, nu=3, w=auto)",15,5,1.066320e-04,1.650361e-03,3.299952e-03
"MG(v, nu=3, w=auto)",31,10,4.380710e-04,3.822337e-04,7.710457e-04
"MG(v, nu=3, w=auto)",63,19,1.992787e-03,1.119248e-04,2.165884e-04
"MG(v, nu=3, w=auto)",127,200,7.936405e-02,2.507245e-05,5.108021e-05
"MG(v, nu=3, w=auto)",255,200,2.436261e-01,6.221791e-06,1.408252e-05
"MG(v, nu=3, w=auto)",511,200,7.824322e-01,2.213719e-06,8.821487e-06
"MG(w, nu=3, w=1.25)",15,3,1.272340e-04,1.606878e-03,3.216982e-03
"MG(w, nu=3, w=1.25)",31,3,3.067590e-04,4.014491e-04,8.033514e-04
"MG(w, nu=3, w=1.25)",63,3,8.389830e-04,1.003283e-04,2.007484e-04
"MG(w, nu=3, w=1.25)",127,3,2.875962e-03,2.504567e-05,5.018711e-05
"MG(w, nu=3, w=1.25)",255,3,9.347948e-03,6.222103e-06,1.256123e-05
"MG(w, nu=3, w=1.25)",511,200,1.265810e+00,1.516125e-06,3.233556e-06
"MG(w, nu=3, w=auto)",15,5,2.308070e-04,1.619381e-03,3.238082e-03
"MG(w, nu=3, w=auto)",31,8,8.662450e-04,4.015450e-04,8.028675e-04
"MG(w, nu=3, w=auto)",63,16,4.290605e-03,1.003174e-04,2.016092e-04
"MG(w, nu=3, w=auto)",127,200,1.512347e-01,2.509002e-05,5.066395e-05
"MG(w, nu=3, w=auto)",255,200,3.815353e-01,5.979650e-06,1.266722e-05
"MG(w, nu=3, w=auto)",511,200,1.256358e+00,2.992530e-06,1.081776e-05
