Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,209,6.409700e-05,1.214909e-02,2.429817e-02
Jacobi,23,480,2.472590e-04,5.359167e-03,1.071833e-02
Jacobi,31,860,7.600390e-04,3.006631e-03,6.013262e-03
Jacobi,47,1945,3.761873e-03,1.333781e-03,2.667561e-03
Jacobi,63,3464,1.195450e-02,7.497604e-04,1.499521e-03
Jacobi,95,7803,6.033859e-02,3.330710e-04,6.661421e-04
Jacobi,127,13879,1.916802e-01,1.873218e-04,3.746436e-04
RB GS,15,106,7.138999e-05,1.214909e-02,2.429817e-02
RB GS,23,244,4.046270e-04,5.359167e-03,1.071833e-02
RB GS,31,436,1.133115e-03,3.006631e-03,6.013262e-03
RB GS,47,985,5.598092e-03,1.333781e-03,2.667561e-03
RB GS,63,1754,2.315398e-02,7.497604e-04,1.499521e-03
RB GS,95,3952,8.124989e-02,3.330710e-04,6.661421e-04
RB GS,127,7028,2.076836e-01,1.873218e-04,3.746436e-04
RB SOR,15,71,8.888199e-05,1.214909e-02,2.429817e-02
RB SOR,23,107,1.846330e-04,5.359167e-03,1.071833e-02
RB SOR,31,143,4.260000e-04,3.006631e-03,6.013262e-03
RB SOR,47,215,1.445171e-03,1.333781e-03,2.667561e-03
RB SOR,63,286,3.418424e-03,7.497604e-04,1.499521e-03
RB SOR,95,430,2.148111e-02,3.330710e-04,6.661421e-04
RB SOR,127,573,2.664543e-02,1.873218e-04,3.746436e-04
MG V-cycle,15,12,2.359360e-04,1.214909e-02,2.429817e-02
MG V-cycle,23,14,4.804380e-04,5.359167e-03,1.071833e-02
MG V-cycle,31,14,4.359070e-04,3.006631e-03,6.013262e-03
MG V-cycle,47,15,3.400706e-03,1.333781e-03,2.667561e-03
MG V-cycle,63,15,1.053632e-03,7.497604e-04,1.499521e-03
MG V-cycle,95,16,3.045131e-03,3.330710e-04,6.661421e-04
MG V-cycle,127,16,3.712349e-03,1.873218e-04,3.746436e-04
MG W-cycle,15,12,4.121810e-04,1.214909e-02,2.429817e-02
MG W-cycle,23,12,8.108680e-04,5.359167e-03,1.071833e-02
MG W-cycle,31,12,9.909830e-04,3.006631e-03,6.013262e-03
MG W-cycle,47,12,2.304604e-03,1.333781e-03,2.667561e-03
MG W-cycle,63,12,2.707869e-03,7.497604e-04,1.499521e-03
MG W-cycle,95,12,7.136963e-03,3.330710e-04,6.661421e-04
MG W-cycle,127,12,7.373185e-03,1.873218e-04,3.746436e-04
