Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,1305,3.284420e-04,1.609482e-03,3.218964e-03
Jacobi,23,2947,1.473773e-03,7.145592e-04,1.429118e-03
Jacobi,31,5245,4.480557e-03,4.017888e-04,8.035777e-04
Jacobi,47,11812,2.239704e-02,1.785250e-04,3.570500e-04
Jacobi,63,21004,7.452329e-02,1.004109e-04,2.008218e-04
Jacobi,95,47271,3.668238e-01,4.462408e-05,8.924815e-05
Jacobi,127,84047,1.160165e+00,2.510045e-05,5.020091e-05
RB GS,15,662,4.633370e-04,1.609482e-03,3.218964e-03
RB GS,23,1494,2.158038e-03,7.145592e-04,1.429118e-03
RB GS,31,2659,6.850062e-03,4.017888e-04,8.035777e-04
RB GS,47,5987,3.936945e-02,1.785250e-04,3.570500e-04
RB GS,63,10646,8.120139e-02,1.004109e-04,2.008218e-04
RB GS,95,23960,3.826006e-01,4.462408e-05,8.924816e-05
RB GS,127,42598,1.250722e+00,2.510045e-05,5.020091e-05
RB SOR,15,79,7.383000e-05,1.609482e-03,3.218964e-03
RB SOR,23,120,1.753690e-04,7.145592e-04,1.429118e-03
RB SOR,31,162,4.233730e-04,4.017888e-04,8.035777e-04
RB SOR,47,246,1.403422e-03,1.785250e-04,3.570500e-04
RB SOR,63,331,3.316294e-03,1.004109e-04,2.008218e-04
RB SOR,95,503,1.241121e-02,4.462408e-05,8.924816e-05
RB SOR,127,677,2.843429e-02,2.510046e-05,5.020092e-05
MG V-cycle,15,14,1.593480e-04,1.609482e-03,3.218964e-03
MG V-cycle,23,15,2.356670e-04,7.145592e-04,1.429118e-03
MG V-cycle,31,15,3.117510e-04,4.017888e-04,8.035777e-04
MG V-cycle,47,16,5.650310e-04,1.785250e-04,3.570500e-04
MG V-cycle,63,16,7.952070e-04,1.004109e-04,2.008218e-04
MG V-cycle,95,17,1.600992e-03,4.462408e-05,8.924816e-05
MG V-cycle,127,17,2.654638e-03,2.510046e-05,5.020092e-05
MG W-cycle,15,12,6.902960e-04,1.609482e-03,3.218964e-03
MG W-cycle,23,12,1.491500e-03,7.145592e-04,1.429118e-03
MG W-cycle,31,11,5.403385e-03,4.017888e-04,8.035777e-04
MG W-cycle,47,11,4.383881e-03,1.785250e-04,3.570500e-04
MG W-cycle,63,11,3.663997e-03,1.004109e-04,2.008218e-04
MG W-cycle,95,11,9.303127e-03,4.462408e-05,8.924816e-05
MG W-cycle,127,12,1.513964e-02,2.510046e-05,5.020092e-05
