Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,216,9.053900e-05,5.037509e-04,1.007505e-03
Jacobi,23,487,4.431600e-04,5.070370e-04,1.014076e-03
Jacobi,31,867,1.387123e-03,5.067112e-04,1.013421e-03
Jacobi,47,1953,6.695811e-03,5.061524e-04,1.012299e-03
Jacobi,63,3473,2.125430e-02,5.062189e-04,1.012437e-03
Jacobi,95,7815,1.099899e-01,5.064450e-04,1.012936e-03
Jacobi,127,13891,3.467278e-01,5.064952e-04,1.013018e-03
RB GS,15,117,1.039940e-04,3.587591e-04,7.105246e-04
RB GS,23,264,5.016310e-04,3.580324e-04,7.129854e-04
RB GS,31,470,1.855105e-03,3.570936e-04,7.124655e-04
RB GS,47,1058,9.489139e-03,3.572843e-04,7.137991e-04
RB GS,63,1881,2.764903e-02,3.575395e-04,7.146560e-04
RB GS,95,4232,1.161646e-01,3.578351e-04,7.155360e-04
RB GS,127,7520,3.381382e-01,3.582068e-04,7.163361e-04
RB SOR,15,22,2.388201e-05,5.453047e-05,1.164861e-04
RB SOR,23,35,6.978199e-05,3.478680e-05,7.277562e-05
RB SOR,31,49,1.709030e-04,2.317677e-05,4.779920e-05
RB SOR,47,76,6.233110e-04,1.730916e-05,3.527436e-05
RB SOR,63,105,1.522062e-03,1.251394e-05,2.548844e-05
RB SOR,95,163,5.241961e-03,8.976058e-06,1.835533e-05
RB SOR,127,224,1.305546e-02,6.249943e-06,1.279265e-05
MG V-cycle,15,3,6.178100e-05,8.001491e-05,1.151636e-04
MG V-cycle,23,4,1.512680e-04,2.001453e-05,2.732408e-05
MG V-cycle,31,4,1.484360e-04,1.421272e-05,2.197083e-05
MG V-cycle,47,5,3.171250e-04,3.596552e-06,5.140809e-06
MG V-cycle,63,5,5.101340e-04,2.409664e-06,4.077330e-06
MG V-cycle,95,5,8.499390e-04,3.723663e-06,5.339456e-06
MG V-cycle,127,5,2.051205e-03,2.500183e-06,4.327158e-06
MG W-cycle,15,3,1.221760e-04,1.345984e-05,2.323836e-05
MG W-cycle,23,3,2.452920e-04,6.650388e-06,1.450722e-05
MG W-cycle,31,3,2.923590e-04,4.111067e-06,1.079962e-05
MG W-cycle,47,3,6.609700e-04,2.156867e-06,7.223246e-06
MG W-cycle,63,3,7.166760e-04,1.385901e-06,5.437061e-06
MG W-cycle,95,3,1.444903e-03,7.510847e-07,3.643984e-06
MG W-cycle,127,3,2.097317e-03,4.880492e-07,2.742046e-06
