Solver,N,Iterations,Time_s,L2_Error,Linf_Error
Jacobi,15,68,3.064801e-05,1.207725e-02,2.415454e-02
Jacobi,23,155,1.434610e-04,5.281742e-03,1.056349e-02
Jacobi,31,278,4.541610e-04,2.930349e-03,5.861163e-03
Jacobi,47,628,2.149710e-03,1.256560e-03,2.513289e-03
Jacobi,63,1118,6.902557e-03,6.723554e-04,1.344323e-03
Jacobi,95,2520,3.545484e-02,2.560358e-04,5.123615e-04
Jacobi,127,4503,1.137680e-01,1.135686e-04,2.273321e-04
RB GS,15,36,2.641900e-05,1.210347e-02,2.421296e-02
RB GS,23,81,1.379090e-04,5.305564e-03,1.061416e-02
RB GS,31,145,3.928030e-04,2.953612e-03,5.909324e-03
RB GS,47,327,2.091353e-03,1.279665e-03,2.560258e-03
RB GS,63,581,8.240811e-03,6.947097e-04,1.389503e-03
RB GS,95,1309,5.168919e-02,2.781865e-04,5.568266e-04
RB GS,127,2328,1.072684e-01,1.326238e-04,2.654791e-04
RB SOR,15,24,2.624599e-05,1.219074e-02,2.437687e-02
RB SOR,23,36,1.030550e-04,5.401035e-03,1.079988e-02
RB SOR,31,48,1.795800e-04,3.048606e-03,6.096125e-03
RB SOR,47,72,5.605320e-04,1.375586e-03,2.750635e-03
RB SOR,63,108,1.493706e-03,7.390247e-04,1.477361e-03
RB SOR,95,143,4.636703e-03,3.752851e-04,7.512569e-04
RB SOR,127,191,1.080174e-02,2.297452e-04,4.599094e-04
MG V-cycle,15,4,2.000900e-04,1.213157e-02,2.430201e-02
MG V-cycle,23,5,1.407640e-04,5.354949e-03,1.071918e-02
MG V-cycle,31,5,1.879490e-04,3.000443e-03,6.014109e-03
MG V-cycle,47,6,3.731390e-04,1.332763e-03,2.667785e-03
MG V-cycle,63,6,5.612830e-04,7.485757e-04,1.499772e-03
MG V-cycle,95,6,1.000813e-03,3.318409e-04,6.663799e-04
MG V-cycle,127,7,1.897656e-03,1.871112e-04,3.746748e-04
MG W-cycle,15,4,1.658490e-04,1.213365e-02,2.428925e-02
MG W-cycle,23,4,2.996700e-04,5.348887e-03,1.071703e-02
MG W-cycle,31,5,4.949250e-04,3.006229e-03,6.013274e-03
MG W-cycle,47,5,9.096010e-04,1.333665e-03,2.667665e-03
MG W-cycle,63,5,4.434532e-03,7.496889e-04,1.499534e-03
MG W-cycle,95,5,2.375214e-03,3.330575e-04,6.661415e-04
MG W-cycle,127,5,3.268352e-03,1.872901e-04,3.745556e-04
