Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,72,3.700600e-05,4.335911e-13,9.251211e-13
RB SOR,31,148,2.753990e-04,2.297615e-13,4.780898e-13
RB SOR,63,303,2.149740e-03,1.219865e-13,2.497863e-13
RB SOR,127,620,1.824542e-02,6.322107e-14,1.282169e-13
RB SOR,255,1269,1.745205e-01,3.180886e-14,6.406681e-14
RB SOR,511,2601,1.236370e+00,1.496528e-14,3.002459e-14
"MG(v, nu=3, w=1.25)",15,7,1.305500e-04,5.834793e-13,8.636286e-13
"MG(v, nu=3, w=1.25)",31,8,2.943460e-04,4.513539e-14,6.336251e-14
"MG(v, nu=3, w=1.25)",63,8,7.106940e-04,6.159085e-14,8.669801e-14
"MG(v, nu=3, w=1.25)",127,9,2.693862e-03,2.629817e-15,3.621235e-15
"MG(v, nu=3, w=1.25)",255,9,1.534116e-02,2.631525e-15,4.035834e-15
"MG(v, nu=3, w=1.25)",511,9,4.519506e-02,1.844305e-15,4.422027e-15
"MG(v, nu=3, w=auto)",15,13,2.935550e-04,7.551509e-13,1.674015e-12
"MG(v, nu=3, w=auto)",31,25,9.414710e-04,3.261380e-13,6.871517e-13
"MG(v, nu=3, w=auto)",63,47,4.734760e-03,1.256799e-13,2.932377e-13
"MG(v, nu=3, w=auto)",127,96,2.920058e-02,3.561756e-14,1.136244e-13
"MG(v, nu=3, w=auto)",255,196,1.770525e-01,1.294131e-14,4.973105e-14
"MG(v, nu=3, w=auto)",511,200,6.748469e-01,7.412199e-09,2.431521e-08
"MG(w, nu=3, w=1.25)",15,7,3.063840e-04,2.385614e-14,4.029416e-14
"MG(w, nu=3, w=1.25)",31,7,7.500220e-04,2.150229e-15,6.487866e-15
"MG(w, nu=3, w=1.25)",63,7,1.757334e-03,3.874672e-16,1.990595e-15
"MG(w, nu=3, w=1.25)",127,7,5.246906e-03,3.304786e-16,9.575674e-16
"MG(w, nu=3, w=1.25)",255,7,2.142249e-02,1.342380e-15,4.427014e-15
"MG(w, nu=3, w=1.25)",511,7,5.627339e-02,7.323534e-16,2.886580e-15
"MG(w, nu=3, w=auto)",15,12,4.306370e-04,1.850881e-13,4.230644e-13
"MG(w, nu=3, w=auto)",31,21,1.936322e-03,1.019896e-13,3.405748e-13
"MG(w, nu=3, w=auto)",63,43,1.015726e-02,5.880454e-15,2.455675e-14
"MG(w, nu=3, w=auto)",127,86,7.064862e-02,1.552292e-15,9.853229e-15
"MG(w, nu=3, w=auto)",255,172,2.902123e-01,5.149583e-16,3.740064e-15
"MG(w, nu=3, w=auto)",511,200,1.150115e+00,6.732225e-12,3.476369e-11
