Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,72,3.677500e-05,2.953815e-04,5.717083e-04
RB SOR,31,149,2.671810e-04,7.433228e-05,1.438535e-04
RB SOR,63,309,2.182742e-03,1.861234e-05,3.615086e-05
RB SOR,127,639,1.906971e-02,4.654896e-06,9.044184e-06
RB SOR,255,1351,1.918704e-01,1.163837e-06,2.262062e-06
RB SOR,511,100000,4.694507e+01,2.909662e-07,5.655294e-07
"MG(v, nu=3, w=1.25)",15,6,1.908600e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=1.25)",31,8,4.920058e-03,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=1.25)",63,9,7.994320e-04,1.861234e-05,3.615085e-05
"MG(v, nu=3, w=1.25)",127,9,2.684412e-03,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=1.25)",255,10,1.566239e-02,1.163837e-06,2.262062e-06
"MG(v, nu=3, w=1.25)",511,10,4.492219e-02,2.909662e-07,5.655295e-07
"MG(v, nu=3, w=auto)",15,12,2.201930e-04,2.953815e-04,5.717083e-04
"MG(v, nu=3, w=auto)",31,27,9.700620e-04,7.433228e-05,1.438535e-04
"MG(v, nu=3, w=auto)",63,55,4.955764e-03,1.861234e-05,3.615086e-05
"MG(v, nu=3, w=auto)",127,112,4.352940e-02,4.654896e-06,9.044184e-06
"MG(v, nu=3, w=auto)",255,200,2.129396e-01,1.163837e-06,2.262061e-06
"MG(v, nu=3, w=auto)",511,200,7.008724e-01,2.943258e-07,1.155036e-06
"MG(w, nu=3, w=1.25)",15,6,2.176590e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=1.25)",31,7,1.262552e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=1.25)",63,8,1.868395e-03,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=1.25)",127,8,8.601881e-03,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=1.25)",255,8,2.311132e-02,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=1.25)",511,8,6.440937e-02,2.909662e-07,5.655295e-07
"MG(w, nu=3, w=auto)",15,12,4.394530e-04,2.953815e-04,5.717083e-04
"MG(w, nu=3, w=auto)",31,25,6.203771e-03,7.433228e-05,1.438535e-04
"MG(w, nu=3, w=auto)",63,51,1.474488e-02,1.861234e-05,3.615085e-05
"MG(w, nu=3, w=auto)",127,104,7.451252e-02,4.654896e-06,9.044184e-06
"MG(w, nu=3, w=auto)",255,200,3.291006e-01,1.163837e-06,2.262062e-06
"MG(w, nu=3, w=auto)",511,200,1.172785e+00,2.910944e-07,5.892342e-07
