Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,83,4.226201e-05,7.711186e-05,1.399549e-04
RB SOR,31,170,3.066970e-04,1.933384e-05,3.508534e-05
RB SOR,63,348,2.468642e-03,4.836930e-06,8.785607e-06
RB SOR,127,100000,3.017849e+00,1.209449e-06,2.196785e-06
RB SOR,255,100000,1.182062e+01,3.023759e-07,5.492652e-07
RB SOR,511,100000,4.657618e+01,7.559481e-08,1.373177e-07
"MG(v, nu=3, w=1.25)",15,9,1.070240e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=1.25)",31,9,2.102510e-04,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=1.25)",63,10,6.191790e-04,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=1.25)",127,10,2.081274e-03,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=1.25)",255,11,1.369206e-02,3.023759e-07,5.492653e-07
"MG(v, nu=3, w=1.25)",511,200,6.819878e-01,7.559484e-08,1.373179e-07
"MG(v, nu=3, w=auto)",15,16,2.974640e-04,7.711186e-05,1.399549e-04
"MG(v, nu=3, w=auto)",31,30,2.050203e-03,1.933384e-05,3.508534e-05
"MG(v, nu=3, w=auto)",63,60,6.087146e-03,4.836930e-06,8.785608e-06
"MG(v, nu=3, w=auto)",127,200,6.883286e-02,1.209449e-06,2.196785e-06
"MG(v, nu=3, w=auto)",255,200,1.967603e-01,3.023756e-07,5.492638e-07
"MG(v, nu=3, w=auto)",511,200,6.858312e-01,4.106969e-06,2.120521e-05
"MG(w, nu=3, w=1.25)",15,8,1.862080e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=1.25)",31,8,1.078761e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=1.25)",63,8,2.056834e-03,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=1.25)",127,8,5.587881e-03,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=1.25)",255,9,2.517462e-02,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=1.25)",511,200,1.139966e+00,7.559482e-08,1.373179e-07
"MG(w, nu=3, w=auto)",15,14,5.160900e-04,7.711186e-05,1.399549e-04
"MG(w, nu=3, w=auto)",31,27,2.544779e-03,1.933384e-05,3.508534e-05
"MG(w, nu=3, w=auto)",63,54,1.566231e-02,4.836930e-06,8.785608e-06
"MG(w, nu=3, w=auto)",127,200,1.192893e-01,1.209449e-06,2.196785e-06
"MG(w, nu=3, w=auto)",255,200,3.348356e-01,3.023758e-07,5.492652e-07
"MG(w, nu=3, w=auto)",511,200,1.129412e+00,8.665968e-08,3.070091e-07
