Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,71,3.544700e-05,1.214909e-02,2.429817e-02
RB SOR,31,143,2.533820e-04,3.006631e-03,6.013262e-03
RB SOR,63,286,2.017271e-03,7.497604e-04,1.499521e-03
RB SOR,127,573,1.678580e-02,1.873218e-04,3.746436e-04
RB SOR,255,1201,1.651713e-01,4.682306e-05,9.364612e-05
RB SOR,511,100000,4.662540e+01,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=1.25)",15,6,1.284500e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=1.25)",31,8,2.837700e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=1.25)",63,8,7.314700e-04,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=1.25)",127,9,2.669528e-03,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=1.25)",255,9,9.881032e-03,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=1.25)",511,10,4.553844e-02,1.170530e-05,2.341061e-05
"MG(v, nu=3, w=auto)",15,12,2.225140e-04,1.214909e-02,2.429817e-02
"MG(v, nu=3, w=auto)",31,26,9.606000e-04,3.006631e-03,6.013262e-03
"MG(v, nu=3, w=auto)",63,56,6.345890e-03,7.497604e-04,1.499521e-03
"MG(v, nu=3, w=auto)",127,113,3.599385e-02,1.873218e-04,3.746436e-04
"MG(v, nu=3, w=auto)",255,200,1.812152e-01,4.682306e-05,9.364612e-05
"MG(v, nu=3, w=auto)",511,200,6.536339e-01,1.156781e-05,2.327146e-05
"MG(w, nu=3, w=1.25)",15,7,4.546490e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=1.25)",31,7,1.010079e-02,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=1.25)",63,7,1.630466e-03,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=1.25)",127,7,8.684642e-03,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=1.25)",255,7,1.564874e-02,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=1.25)",511,7,5.255014e-02,1.170530e-05,2.341061e-05
"MG(w, nu=3, w=auto)",15,12,4.410290e-04,1.214909e-02,2.429817e-02
"MG(w, nu=3, w=auto)",31,26,2.343019e-03,3.006631e-03,6.013262e-03
"MG(w, nu=3, w=auto)",63,48,1.214122e-02,7.497604e-04,1.499521e-03
"MG(w, nu=3, w=auto)",127,99,6.886037e-02,1.873218e-04,3.746436e-04
"MG(w, nu=3, w=auto)",255,198,3.333888e-01,4.682306e-05,9.364612e-05
"MG(w, nu=3, w=auto)",511,200,1.126789e+00,1.170525e-05,2.341024e-05
