Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,79,6.541400e-05,1.609482e-03,3.218964e-03
RB SOR,31,162,2.883150e-04,4.017888e-04,8.035777e-04
RB SOR,63,331,2.328291e-03,1.004109e-04,2.008218e-04
RB SOR,127,677,2.034209e-02,2.510046e-05,5.020092e-05
RB SOR,255,1413,1.871934e-01,6.274973e-06,1.254995e-05
RB SOR,511,100000,4.661538e+01,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=1.25)",15,8,1.120040e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=1.25)",31,9,2.099280e-04,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=1.25)",63,9,5.854870e-04,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=1.25)",127,9,1.900155e-03,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=1.25)",255,10,1.246345e-02,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=1.25)",511,10,5.313045e-02,1.568734e-06,3.137469e-06
"MG(v, nu=3, w=auto)",15,15,2.772220e-04,1.609482e-03,3.218964e-03
"MG(v, nu=3, w=auto)",31,28,1.013773e-03,4.017888e-04,8.035777e-04
"MG(v, nu=3, w=auto)",63,52,9.711746e-03,1.004109e-04,2.008218e-04
"MG(v, nu=3, w=auto)",127,105,5.222630e-02,2.510046e-05,5.020092e-05
"MG(v, nu=3, w=auto)",255,200,1.842052e-01,6.274973e-06,1.254995e-05
"MG(v, nu=3, w=auto)",511,200,6.565522e-01,1.552447e-06,3.335176e-06
"MG(w, nu=3, w=1.25)",15,7,2.781590e-04,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=1.25)",31,7,6.361990e-04,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=1.25)",63,7,1.622227e-03,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=1.25)",127,7,4.809535e-03,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=1.25)",255,7,1.560352e-02,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=1.25)",511,7,5.455265e-02,1.568734e-06,3.137469e-06
"MG(w, nu=3, w=auto)",15,13,1.077073e-03,1.609482e-03,3.218964e-03
"MG(w, nu=3, w=auto)",31,24,2.153097e-03,4.017888e-04,8.035777e-04
"MG(w, nu=3, w=auto)",63,47,1.112939e-02,1.004109e-04,2.008218e-04
"MG(w, nu=3, w=auto)",127,95,6.144551e-02,2.510046e-05,5.020092e-05
"MG(w, nu=3, w=auto)",255,192,3.186614e-01,6.274973e-06,1.254995e-05
"MG(w, nu=3, w=auto)",511,200,1.103974e+00,1.568737e-06,3.137644e-06
