Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,22,1.853400e-05,5.453047e-05,1.164861e-04
RB SOR,31,49,1.368230e-04,2.317677e-05,4.779920e-05
RB SOR,63,105,1.193556e-03,1.251394e-05,2.548844e-05
RB SOR,127,224,1.019770e-02,6.249943e-06,1.279265e-05
RB SOR,255,513,1.305172e-01,1.044637e-06,3.141351e-06
RB SOR,511,100000,7.246742e+01,1.036215e-06,1.956767e-06
"MG(v, nu=3, w=1.25)",15,2,7.628401e-05,2.839554e-05,4.200637e-05
"MG(v, nu=3, w=1.25)",31,3,1.782540e-04,1.126569e-06,1.596287e-06
"MG(v, nu=3, w=1.25)",63,3,4.183930e-04,1.216045e-06,1.756474e-06
"MG(v, nu=3, w=1.25)",127,3,1.347057e-03,1.232867e-06,1.785345e-06
"MG(v, nu=3, w=1.25)",255,3,6.667488e-03,1.234503e-06,1.690583e-06
"MG(v, nu=3, w=1.25)",511,4,5.120284e-02,4.426871e-08,6.461050e-08
"MG(v, nu=3, w=auto)",15,4,9.055401e-05,1.840721e-05,4.124269e-05
"MG(v, nu=3, w=auto)",31,8,3.281920e-04,1.002531e-05,2.149120e-05
"MG(v, nu=3, w=auto)",63,14,1.493132e-03,1.285504e-05,2.567098e-05
"MG(v, nu=3, w=auto)",127,28,1.058708e-02,4.871824e-06,1.290813e-05
"MG(v, nu=3, w=auto)",255,60,8.543969e-02,1.222991e-06,3.975118e-06
"MG(v, nu=3, w=auto)",511,200,7.958301e-01,9.229709e-08,4.149188e-07
"MG(w, nu=3, w=1.25)",15,2,1.403320e-04,1.107885e-05,1.851097e-05
"MG(w, nu=3, w=1.25)",31,2,3.173090e-04,3.585222e-06,7.481314e-06
"MG(w, nu=3, w=1.25)",63,2,9.066800e-04,1.184954e-06,3.890134e-06
"MG(w, nu=3, w=1.25)",127,2,5.322195e-03,4.216969e-07,2.026558e-06
"MG(w, nu=3, w=1.25)",255,3,1.023200e-02,2.424956e-09,1.490116e-08
"MG(w, nu=3, w=1.25)",511,3,2.889806e-02,1.892364e-09,1.712760e-08
"MG(w, nu=3, w=auto)",15,3,1.713610e-04,5.188990e-05,1.289845e-04
"MG(w, nu=3, w=auto)",31,6,6.243900e-04,2.570148e-06,9.678304e-06
"MG(w, nu=3, w=auto)",63,12,3.987831e-03,4.900463e-07,1.585111e-06
"MG(w, nu=3, w=auto)",127,24,2.327604e-02,1.572847e-07,6.370246e-07
"MG(w, nu=3, w=auto)",255,50,1.335738e-01,5.618015e-08,2.572779e-07
"MG(w, nu=3, w=auto)",511,200,1.303184e+00,2.092717e-07,6.072223e-07
