Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,26,3.019501e-05,2.946811e-04,5.716501e-04
RB SOR,31,55,1.501580e-04,6.743124e-05,1.301824e-04
RB SOR,63,122,1.361766e-03,1.818780e-05,3.716507e-05
RB SOR,127,100000,4.482461e+00,4.772676e-06,1.029779e-05
RB SOR,255,100000,1.818969e+01,1.422420e-06,5.320370e-06
RB SOR,511,100000,7.211660e+01,1.169952e-06,6.298321e-06
"MG(v, nu=3, w=1.25)",15,2,3.065800e-05,2.681237e-04,5.274831e-04
"MG(v, nu=3, w=1.25)",31,3,9.066501e-05,7.144183e-05,1.402317e-04
"MG(v, nu=3, w=1.25)",63,4,2.925910e-04,1.848040e-05,3.597940e-05
"MG(v, nu=3, w=1.25)",127,4,1.053412e-03,4.477334e-06,8.947209e-06
"MG(v, nu=3, w=1.25)",255,4,8.402223e-03,1.000826e-06,2.177696e-06
"MG(v, nu=3, w=1.25)",511,200,7.824857e-01,2.967961e-07,8.293741e-07
"MG(v, nu=3, w=auto)",15,5,1.098020e-04,2.951364e-04,5.677162e-04
"MG(v, nu=3, w=auto)",31,10,4.154350e-04,6.600533e-05,1.279160e-04
"MG(v, nu=3, w=auto)",63,21,2.302741e-03,2.443702e-05,5.177842e-05
"MG(v, nu=3, w=auto)",127,200,7.363923e-02,4.660086e-06,1.003555e-05
"MG(v, nu=3, w=auto)",255,200,2.180368e-01,1.260388e-06,4.896135e-06
"MG(v, nu=3, w=auto)",511,200,7.829435e-01,1.535473e-06,7.140928e-06
"MG(w, nu=3, w=1.25)",15,2,9.322100e-05,2.681445e-04,5.274831e-04
"MG(w, nu=3, w=1.25)",31,3,3.595990e-04,7.301564e-05,1.425563e-04
"MG(w, nu=3, w=1.25)",63,3,8.280350e-04,1.818723e-05,3.597940e-05
"MG(w, nu=3, w=1.25)",127,4,3.484087e-03,4.660041e-06,9.126023e-06
"MG(w, nu=3, w=1.25)",255,4,1.097954e-02,1.169737e-06,2.383863e-06
"MG(w, nu=3, w=1.25)",511,200,1.264564e+00,2.988319e-07,8.293741e-07
"MG(w, nu=3, w=auto)",15,5,2.581080e-04,2.952184e-04,5.681335e-04
"MG(w, nu=3, w=auto)",31,9,1.082950e-03,8.094262e-05,1.595436e-04
"MG(w, nu=3, w=auto)",63,20,5.426224e-03,1.851444e-05,3.862952e-05
"MG(w, nu=3, w=auto)",127,200,1.302177e-01,4.688198e-06,9.927886e-06
"MG(w, nu=3, w=auto)",255,200,3.695693e-01,1.385845e-06,4.521350e-06
"MG(w, nu=3, w=auto)",511,200,1.257187e+00,1.006480e-06,6.264985e-06
