Solver,N,Iterations,Time_s,L2_Error,Linf_Error
RB SOR,15,34,2.915601e-05,3.092849e-05,6.839770e-05
RB SOR,31,72,2.003830e-04,7.532755e-06,2.243482e-05
RB SOR,63,100000,1.109126e+00,3.763808e-06,1.084990e-05
RB SOR,127,100000,4.485183e+00,2.277857e-05,5.375204e-05
RB SOR,255,100000,1.800983e+01,4.228604e-05,1.203310e-04
RB SOR,511,100000,7.213670e+01,8.379949e-05,1.981027e-04
"MG(v, nu=3, w=1.25)",15,3,7.078501e-05,2.414608e-05,6.977073e-05
"MG(v, nu=3, w=1.25)",31,4,2.190370e-04,1.631208e-05,3.186217e-05
"MG(v, nu=3, w=1.25)",63,4,4.537100e-04,2.474781e-06,5.671376e-06
"MG(v, nu=3, w=1.25)",127,5,1.951082e-03,1.094826e-06,2.583776e-06
"MG(v, nu=3, w=1.25)",255,200,2.463634e-01,3.327260e-07,1.538307e-06
"MG(v, nu=3, w=1.25)",511,200,8.019357e-01,3.586471e-07,2.281312e-06
"MG(v, nu=3, w=auto)",15,6,1.943320e-04,4.849357e-05,1.005842e-04
"MG(v, nu=3, w=auto)",31,12,6.855110e-04,8.334925e-06,2.331452e-05
"MG(v, nu=3, w=auto)",63,200,5.429742e-02,4.879400e-06,1.115691e-05
"MG(v, nu=3, w=auto)",127,200,5.559408e-02,2.774909e-06,1.348971e-05
"MG(v, nu=3, w=auto)",255,200,2.227859e-01,2.963921e-06,1.779939e-05
"MG(v, nu=3, w=auto)",511,200,7.894399e-01,9.675372e-06,5.119334e-05
"MG(w, nu=3, w=1.25)",15,3,1.288690e-04,6.200941e-05,1.294970e-04
"MG(w, nu=3, w=1.25)",31,3,6.179090e-04,1.719568e-05,3.396617e-05
"MG(w, nu=3, w=1.25)",63,4,1.149398e-03,4.759274e-06,9.013913e-06
"MG(w, nu=3, w=1.25)",127,4,3.152199e-03,1.225951e-06,2.730465e-06
"MG(w, nu=3, w=1.25)",255,200,3.911678e-01,3.406750e-07,1.538307e-06
"MG(w, nu=3, w=1.25)",511,200,1.265489e+00,3.601363e-07,2.615758e-06
"MG(w, nu=3, w=auto)",15,5,3.324410e-04,1.273326e-04,2.754092e-04
"MG(w, nu=3, w=auto)",31,11,2.110578e-03,2.079871e-05,4.547404e-05
"MG(w, nu=3, w=auto)",63,200,7.866053e-02,4.715137e-06,1.168437e-05
"MG(w, nu=3, w=auto)",127,200,1.062635e-01,7.204614e-06,2.027252e-05
"MG(w, nu=3, w=auto)",255,200,3.698551e-01,1.149611e-05,4.027715e-05
"MG(w, nu=3, w=auto)",511,200,1.242029e+00,1.216499e-05,5.725972e-05
